,Unnamed: 0,Unnamed: 1,Unnamed: 2,الصادرات حسب الاصناف,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,R
0,,,,Exports According to commodities,,,,,,,,,,,,
1,,الوزن الف طن,القيمة (مليون ريال),عام  2017  Year,,,,,,,,,Weight Thousands Tons,Value (Millions S R),,
2,رمز السلعة,السلعة,مجموعة الدول,صادرات     Export,,,إعادة     ReExport,,,المجموع     Total,,,Country Group,Commodity,Commodity Code,
3,,,,الكمية,وزن,قيمة,الكمية,وزن,قيمة,الكمية,وزن,قيمة,,,,
4,,,,Units,Weight,Value,Units,Weight,Value,Units,Weight,Value,,,,
5,01012910,خيول للرياضة,دول مجلس التعاون الخليجي,366,0,3,152,0,1,518,0,4,Gulf Cooperation Council,HORSES FOR SPORT,01012910,
6,01012910,خيول للرياضة,دول الجامعة العربية الاخرى,46,0,0,15,0,1,61,0,1,Other Arab League Countries,HORSES FOR SPORT,01012910,
7,01012910,خيول للرياضة, مجموعات دول أخرى ,9,0,0,1,0,0,10,0,0,Other Country Groups,HORSES FOR SPORT,01012910,
8,01029000,حيوانات اخر من فصيله الابقار,دول مجلس التعاون الخليجي,0,0,0,801,0,2,801,0,2,Gulf Cooperation Council,OTHER BOVINE ANIMALS,01029000,
9,01041010,حيوانات من فصيله الضان اصيله للانسال,دول مجلس التعاون الخليجي,0,0,0,212438,6,140,212438,6,140,Gulf Cooperation Council,PURE-BRED BREEDING SHEEP,01041010,
10,01041090,حيوانات من فصيله الضان اخر,دول الجامعة العربية الاخرى,0,0,0,4000,0,3,4000,0,3,Other Arab League Countries,OTHER SHEEP,01041090,
11,01041090,حيوانات من فصيله الضان اخر, مجموعات دول أخرى ,119,0,0,18,0,0,137,0,0,Other Country Groups,OTHER SHEEP,01041090,
12,01051100,دجاج من فصائل جاللوس، لايزيد وزن الواحده منهاعن 185غرام,دول مجلس التعاون الخليجي,92862,0,6,0,0,0,92862,0,6,Gulf Cooperation Council,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100,
13,01051100,دجاج من فصائل جاللوس، لايزيد وزن الواحده منهاعن 185غرام,دول الجامعة العربية الاخرى,0,0,1,50000,0,0,50000,0,1,Other Arab League Countries,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100,
14,01059490,غيرهـا من ديوك ودجاجات من جنسجالوس دوميستكوس,دول مجلس التعاون الخليجي,0,0,22,0,0,0,0,0,22,Gulf Cooperation Council,Other Fowls of the species Gallus domesticus,01059490,
15,01059490,غيرهـا من ديوك ودجاجات من جنسجالوس دوميستكوس,دول الجامعة العربية الاخرى,0,0,20,0,0,0,0,0,20,Other Arab League Countries,Other Fowls of the species Gallus domesticus,01059490,
16,01061310,جمال أصيلة للانسال,دول مجلس التعاون الخليجي,0,0,0,7262,1,56,7262,1,56,Gulf Cooperation Council,Pure-bred breeding camels,01061310,
17,01061320,جمال للمسابقات الرياضية والمزاينة,دول مجلس التعاون الخليجي,11757,2,86,11945,3,63,23702,5,150,Gulf Cooperation Council,Camels for sport and beauty contests,01061320,
18,01061320,جمال للمسابقات الرياضية والمزاينة, مجموعات دول أخرى ,1,0,0,8,0,0,9,0,0,Other Country Groups,Camels for sport and beauty contests,01061320,
19,02022000,قطع أخر بعظمها من لحوم فصيلة الأبقار مجمدة,دول اسيوية عدا العربية والاسلامية,0,0,0,0,0,3,0,0,3,"Asian not Arabic ,not Islamic",OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000,
20,02022000,قطع أخر بعظمها من لحوم فصيلة الأبقار مجمدة, مجموعات دول أخرى ,0,0,0,0,0,1,0,0,1,Other Country Groups,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000,
21,02023010,مفروم بقري وإن كان على هيئة أقراص (برغر),دول مجلس التعاون الخليجي,0,1,4,0,0,0,0,1,4,Gulf Cooperation Council,MINCED MEAT OF BOVINE ANIMALS,02023010,
22,02023010,مفروم بقري وإن كان على هيئة أقراص (برغر),دول اسيوية عدا العربية والاسلامية,0,0,0,0,0,1,0,0,1,"Asian not Arabic ,not Islamic",MINCED MEAT OF BOVINE ANIMALS,02023010,
23,02023010,مفروم بقري وإن كان على هيئة أقراص (برغر), مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,MINCED MEAT OF BOVINE ANIMALS,02023010,
24,02023090,غيرها من لحم بقري بدون عظام,دول مجلس التعاون الخليجي,0,0,2,0,0,2,0,0,4,Gulf Cooperation Council,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
25,02023090,غيرها من لحم بقري بدون عظام,دول الجامعة العربية الاخرى,0,0,4,0,0,2,0,0,5,Other Arab League Countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
26,02023090,غيرها من لحم بقري بدون عظام,دول اسيوية عدا العربية والاسلامية,0,0,0,0,2,22,0,2,22,"Asian not Arabic ,not Islamic",BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
27,02023090,غيرها من لحم بقري بدون عظام,دول امريكا الجنوبية,0,0,0,0,0,1,0,0,1,South America,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
28,02023090,غيرها من لحم بقري بدون عظام, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
29,02041000,ذبائح كاملة وأنصاف ذبائح حملان، طازجة أو مبردة,دول الجامعة العربية الاخرى,0,0,0,0,0,1,0,0,1,Other Arab League Countries,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000,
30,02041000,ذبائح كاملة وأنصاف ذبائح حملان، طازجة أو مبردة,دول اسلامية عدا العربية,0,0,0,0,1,2,0,1,2,Islamic not Arabic countries,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000,
31,02041000,ذبائح كاملة وأنصاف ذبائح حملان، طازجة أو مبردة, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000,
32,02044100,ذبائح كاملة وأنصاف ذبائح من فصيلة الضأن، مجمدة,دول الجامعة العربية الاخرى,0,0,0,0,0,1,0,0,1,Other Arab League Countries,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",02044100,
33,02044100,ذبائح كاملة وأنصاف ذبائح من فصيلة الضأن، مجمدة,دول اسلامية عدا العربية,0,0,0,0,0,1,0,0,1,Islamic not Arabic countries,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",02044100,
34,02044100,ذبائح كاملة وأنصاف ذبائح من فصيلة الضأن، مجمدة, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",02044100,
35,02044200,قطع أخر بعظمها من فصيلة الضأن، مجمدة,دول اسيوية عدا العربية والاسلامية,0,0,0,0,0,2,0,0,2,"Asian not Arabic ,not Islamic","OTHER CUTS WITH BONE IN OF SHEEP, FROZEN",02044200,
36,02044310,مفروم غنم وان كان على هيئة اقراص للبرجر,دول مجلس التعاون الخليجي,0,0,1,0,0,0,0,0,1,Gulf Cooperation Council,"MINCED MEAT OF SHEEP, CHOPPED BURGER",02044310,
37,02044310,مفروم غنم وان كان على هيئة اقراص للبرجر, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,"MINCED MEAT OF SHEEP, CHOPPED BURGER",02044310,
38,02068090,احشاء واطراف طازجه من فصائل اخرى,دول مجلس التعاون الخليجي,0,2,29,0,0,0,0,2,30,Gulf Cooperation Council,FRESH OFFAL OF OTHER ANIMALS,02068090,
39,02068090,احشاء واطراف طازجه من فصائل اخرى, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,FRESH OFFAL OF OTHER ANIMALS,02068090,
40,02071100,لحوم وأحشاء وأطراف دجاج (جالوس دوميستكوس) غير مقطعة مبردة,دول مجلس التعاون الخليجي,0,15,213,0,0,0,0,15,213,Gulf Cooperation Council,"MEAT, CONS. BWLS & EXTREM. OF TURKEY/CHICKEN:GALL. DOM.",02071100,
41,02071100,لحوم وأحشاء وأطراف دجاج (جالوس دوميستكوس) غير مقطعة مبردة,دول امريكا الجنوبية,0,0,0,0,1,5,0,1,5,South America,"MEAT, CONS. BWLS & EXTREM. OF TURKEY/CHICKEN:GALL. DOM.",02071100,
42,02071200,لحوم وأحشاء دجاج (جالوس دوميستكوس) غير مقطعة مجمدة,دول مجلس التعاون الخليجي,0,2,30,0,0,0,0,2,30,Gulf Cooperation Council,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200,
43,02071200,لحوم وأحشاء دجاج (جالوس دوميستكوس) غير مقطعة مجمدة,دول الجامعة العربية الاخرى,0,0,2,0,3,30,0,4,32,Other Arab League Countries,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200,
44,02071200,لحوم وأحشاء دجاج (جالوس دوميستكوس) غير مقطعة مجمدة,دول اسلامية عدا العربية,0,0,0,0,0,1,0,0,1,Islamic not Arabic countries,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200,
45,02071200,لحوم وأحشاء دجاج (جالوس دوميستكوس) غير مقطعة مجمدة,دول افريقية عدا العربية والاسلامية,0,1,2,0,0,0,0,1,2,"African not Arabic,not Islamic",UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200,
46,02071200,لحوم وأحشاء دجاج (جالوس دوميستكوس) غير مقطعة مجمدة,دول امريكا الجنوبية,0,0,0,0,0,1,0,0,1,South America,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200,
47,02071200,لحوم وأحشاء دجاج (جالوس دوميستكوس) غير مقطعة مجمدة, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,02071200,
48,02071300,قطع وأحشاء وأطراف، طازجة أو مبردة (من دجاج جالوس دوميستكوس ),دول مجلس التعاون الخليجي,0,6,143,0,0,0,0,6,143,Gulf Cooperation Council," Cuts and offal, fresh or chilled (gallus.domesticus )",02071300,
49,02071300,قطع وأحشاء وأطراف، طازجة أو مبردة (من دجاج جالوس دوميستكوس ), مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups," Cuts and offal, fresh or chilled (gallus.domesticus )",02071300,
50,02071400,قطع وأحشاء وأطراف، مجمدة (دجاج جالوس دوميستكوس),دول مجلس التعاون الخليجي,0,5,91,0,1,5,0,6,96,Gulf Cooperation Council," Cuts and offal, frozen(chikens)",02071400,
51,02071400,قطع وأحشاء وأطراف، مجمدة (دجاج جالوس دوميستكوس),دول الجامعة العربية الاخرى,0,1,11,0,0,0,0,1,11,Other Arab League Countries," Cuts and offal, frozen(chikens)",02071400,
52,02071400,قطع وأحشاء وأطراف، مجمدة (دجاج جالوس دوميستكوس),دول اسلامية عدا العربية,0,0,0,0,0,2,0,0,2,Islamic not Arabic countries," Cuts and offal, frozen(chikens)",02071400,
53,02071400,قطع وأحشاء وأطراف، مجمدة (دجاج جالوس دوميستكوس),دول اسيوية عدا العربية والاسلامية,0,0,0,0,0,1,0,0,1,"Asian not Arabic ,not Islamic"," Cuts and offal, frozen(chikens)",02071400,
54,02071400,قطع وأحشاء وأطراف، مجمدة (دجاج جالوس دوميستكوس),دول امريكا الجنوبية,0,0,0,0,1,6,0,1,6,South America," Cuts and offal, frozen(chikens)",02071400,
55,02071400,قطع وأحشاء وأطراف، مجمدة (دجاج جالوس دوميستكوس),دول اوروبا عدا دول الاتحاد الأوروبي,0,0,0,0,0,2,0,0,2,Europe not European Union," Cuts and offal, frozen(chikens)",02071400,
56,02071400,قطع وأحشاء وأطراف، مجمدة (دجاج جالوس دوميستكوس), مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups," Cuts and offal, frozen(chikens)",02071400,
57,02072700,قطع وأحشاء وأطراف من ديوك رومية مجمدة,دول الجامعة العربية الاخرى,0,0,1,0,0,0,0,0,1,Other Arab League Countries,"FROZEN PARTS, BOWELS AND EXTREMITIES OF TURKEY.",02072700,
58,02072700,قطع وأحشاء وأطراف من ديوك رومية مجمدة,دول امريكا الجنوبية,0,0,0,0,0,1,0,0,1,South America,"FROZEN PARTS, BOWELS AND EXTREMITIES OF TURKEY.",02072700,
59,02072700,قطع وأحشاء وأطراف من ديوك رومية مجمدة, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,"FROZEN PARTS, BOWELS AND EXTREMITIES OF TURKEY.",02072700,
60,02089032,لحوم حمام او مايماثلها مجمده,دول مجلس التعاون الخليجي,0,0,6,0,0,0,0,0,6,Gulf Cooperation Council,FROZEN PIGEON OR SIMILAR MEAT,02089032,
61,02089099,غيرها  لحوم أو أحشاء حمام أو مايشابه ( طازجه أومجمده),دول مجلس التعاون الخليجي,0,0,2,0,0,0,0,0,2,Gulf Cooperation Council,Other meat and bowels pigon orsimiler ( fresh or frozen),02089099,
62,03021900,غيرها من اسماك فصيله السلمون طازجة او مبردة ,دول مجلس التعاون الخليجي,0,2,7,0,0,0,0,2,7,Gulf Cooperation Council,OTHER FRESH SALMONIDAE,03021900,
63,03021900,غيرها من اسماك فصيله السلمون طازجة او مبردة ,دول الجامعة العربية الاخرى,0,0,0,0,0,2,0,0,2,Other Arab League Countries,OTHER FRESH SALMONIDAE,03021900,
64,03021900,غيرها من اسماك فصيله السلمون طازجة او مبردة , مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,OTHER FRESH SALMONIDAE,03021900,
65,03022900,غيرها من اسماك مفلطحه ، طازجه,دول مجلس التعاون الخليجي,0,3,8,0,0,0,0,3,8,Gulf Cooperation Council,OTHER FRESH FLAT FISH,03022900,
66,03024420,اسماك الباغة,دول مجلس التعاون الخليجي,0,5,18,0,0,0,0,5,18,Gulf Cooperation Council,INDIAN MACKEREL (RASTRELLIGER KANAGURTA),03024420,
67,03024420,اسماك الباغة, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,INDIAN MACKEREL (RASTRELLIGER KANAGURTA),03024420,
68,03028500,الشعوميات (بريم) مثل السبيطي شم،نهاش  فسكر،قرقفان (3),دول الجامعة العربية الاخرى,0,0,1,0,0,0,0,0,1,Other Arab League Countries,SHAOMIAT (3)   NAFAKRAK HSAHAN MMAHS(ITEBUS) EKIL(MERB),03028500,
69,03035420,اسماك الباغة مجمدة,دول مجلس التعاون الخليجي,0,0,1,0,0,0,0,0,1,Gulf Cooperation Council,INDIAN MACKEREL (RASTRELLIGER KANAGURTA) FROZEN,03035420,
70,03035420,اسماك الباغة مجمدة, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,INDIAN MACKEREL (RASTRELLIGER KANAGURTA) FROZEN,03035420,
71,03036900,"غيرها من سمك من عائلة برجماسيروتيدا ,جايداي , ماكروريدا ...) مجمد",دول اسلامية عدا العربية,0,2,9,0,0,0,0,2,9,Islamic not Arabic countries,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03036900,
72,03036900,"غيرها من سمك من عائلة برجماسيروتيدا ,جايداي , ماكروريدا ...) مجمد", مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),03036900,
73,03046900,"غيرها من شرائح سمك مجمدة من سمك بلطي , سلور , شبوط ....",دول مجلس التعاون الخليجي,0,0,1,0,0,0,0,0,1,Gulf Cooperation Council," Other Slices  of Groupers Or Emperors, frozen",03046900,
74,03046900,"غيرها من شرائح سمك مجمدة من سمك بلطي , سلور , شبوط ....",دول الجامعة العربية الاخرى,0,0,1,0,0,0,0,0,1,Other Arab League Countries," Other Slices  of Groupers Or Emperors, frozen",03046900,
75,03046900,"غيرها من شرائح سمك مجمدة من سمك بلطي , سلور , شبوط ....",دول اسيوية عدا العربية والاسلامية,0,0,4,0,0,0,0,0,4,"Asian not Arabic ,not Islamic"," Other Slices  of Groupers Or Emperors, frozen",03046900,
76,03046900,"غيرها من شرائح سمك مجمدة من سمك بلطي , سلور , شبوط ....",دول افريقية عدا العربية والاسلامية,0,0,1,0,0,0,0,0,1,"African not Arabic,not Islamic"," Other Slices  of Groupers Or Emperors, frozen",03046900,
77,03046900,"غيرها من شرائح سمك مجمدة من سمك بلطي , سلور , شبوط ....",دول استراليا وجزر الباسفيك,0,0,3,0,0,0,0,0,3,Australia and Oceania," Other Slices  of Groupers Or Emperors, frozen",03046900,
78,03046900,"غيرها من شرائح سمك مجمدة من سمك بلطي , سلور , شبوط ....",دول امريكا الشمالية,0,0,8,0,0,0,0,0,8,North America," Other Slices  of Groupers Or Emperors, frozen",03046900,
79,03046900,"غيرها من شرائح سمك مجمدة من سمك بلطي , سلور , شبوط ....", مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups," Other Slices  of Groupers Or Emperors, frozen",03046900,
80,03049900,غيرها من أسماك  مجمدة من أسماك أبو سيف أو أبو سن,دول مجلس التعاون الخليجي,0,5,15,0,0,2,0,6,17,Gulf Cooperation Council," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",03049900,
81,03061200,اسماك كركند ، مجمده,دول الجامعة العربية الاخرى,0,0,2,0,0,0,0,0,2,Other Arab League Countries,"LOBSTERS, FROZEN",03061200,
