,Unnamed: 0,Unnamed: 1,Unnamed: 2,الصادرات حسب الاصناف,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,R
0,,,,Exports According to commodities,,,,,,,,,,,,
1,,الوزن الف طن,القيمة (مليون ريال),عام  2016  Year,,,,,,,,,Weight Thousands Tons,Value (Millions S R),,
2,رمز السلعة,السلعة,مجموعة الدول,صادرات     Export,,,إعادة     ReExport,,,المجموع     Total,,,Country Group,Commodity,Commodity Code,
3,,,,الكمية,وزن,قيمة,الكمية,وزن,قيمة,الكمية,وزن,قيمة,,,,
4,,,,Units,Weight,Value,Units,Weight,Value,Units,Weight,Value,,,,
3547,70119000,غيرها من فوارغ واجزاء زجاجيه,دول مجلس التعاون الخليجي,0,1,3,0,0,0,0,1,4,Gulf Cooperation Council,OTHER GLASS ENVELOPES AND PARTS,70119000,
3548,70119000,غيرها من فوارغ واجزاء زجاجيه, مجموعات دول أخرى ,0,0,0,0,0,0,0,0,0,Other Country Groups,OTHER GLASS ENVELOPES AND PARTS,70119000,
3549,70131010,أدوات للمائدة أو المطبخ، من خزف زجاجي,دول مجلس التعاون الخليجي,0,0,2,0,1,14,0,2,15,Gulf Cooperation Council,TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010,
3550,70131010,أدوات للمائدة أو المطبخ، من خزف زجاجي,دول الجامعة العربية الاخرى,0,12,39,0,0,2,0,12,40,Other Arab League Countries,TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010,
3551,70131010,أدوات للمائدة أو المطبخ، من خزف زجاجي,دول اسلامية عدا العربية,0,0,1,0,0,0,0,0,1,Islamic not Arabic countries,TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010,
3552,70131010,أدوات للمائدة أو المطبخ، من خزف زجاجي,دول اسيوية عدا العربية والاسلامية,0,0,1,0,0,0,0,0,1,"Asian not Arabic ,not Islamic",TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010,
3553,70131010,أدوات للمائدة أو المطبخ، من خزف زجاجي,دول افريقية عدا العربية والاسلامية,0,1,4,0,0,0,0,1,4,"African not Arabic,not Islamic",TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010,
3554,70131010,أدوات للمائدة أو المطبخ، من خزف زجاجي,دول امريكا الشمالية,0,0,2,0,0,0,0,0,2,North America,TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010,
3555,70131010,أدوات للمائدة أو المطبخ، من خزف زجاجي,دول امريكا الجنوبية,0,0,2,0,0,0,0,0,2,South America,TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010,
3556,70131010,أدوات للمائدة أو المطبخ، من خزف زجاجي,دول الاتحاد الأوروبي,0,1,4,0,0,0,0,1,4,European Union,TABLEWARE OR KITCHENWARE OF GLASS-CERAMICS,70131010,
