,Unnamed: 0,Unnamed: 1,Unnamed: 2,الصادرات حسب الاصناف,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,R
0,,,,Exports According to commodities,,,,,,,,,,,,
1,,الوزن طن,القيمة (مليون ريال),Year 2015 عام,,,,,,,,,Weight Tons,Value (Millions S R),,
2,رمز السلعة,السلعة,مجموعة الدول,صادرات     Export,,,إعادة     ReExport,,,المجموع     Total,,,Country Group,Commodity,Commodity Code,
3,,,,الكمية,وزن,قيمة,الكمية,وزن,قيمة,الكمية,وزن,قيمة,,,,
4,,,,Units,Weight,Value,Units,Weight,Value,Units,Weight,Value,,,,
5,01012910,خيول للرياضة,دول مجلس التعاون الخليجي,557,135,59,146,45,2,703,180,61,Gulf Cooperation Council,HORSES FOR SPORT,01012910,
6,01012910,خيول للرياضة,مجموعات دول آخرى,2,1,0,1,1,0,3,1,0,Other Country Groups,HORSES FOR SPORT,01012910,
7,01041090,حيوانات من فصيله الضان اخر,دول مجلس التعاون الخليجي,10000,234,1,0,0,0,10000,234,1,Gulf Cooperation Council,OTHER SHEEP,01041090,
8,01041090,حيوانات من فصيله الضان اخر,دول الجامعة العربية الاخرى,0,0,0,11888,431,8,11888,431,8,Other Arab League Countries,OTHER SHEEP,01041090,
9,01051100,دجاج من فصائل جاللوس، لايزيد وزن الواحده منهاعن 185غرام,دول مجلس التعاون الخليجي,0,128,14,0,0,0,0,128,14,Gulf Cooperation Council,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100,
10,01051100,دجاج من فصائل جاللوس، لايزيد وزن الواحده منهاعن 185غرام,دول الجامعة العربية الاخرى,0,135,21,0,0,0,0,135,21,Other Arab League Countries,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",01051100,
11,01059410,دجاج بياض,دول افريقية عدا العربية والاسلامية,0,378,1,0,0,0,0,378,1,"African not Arabic,not Islamic",hens (for laying eggs),01059410,
12,01059410,دجاج بياض,مجموعات دول آخرى,0,160,1,0,0,0,0,160,1,Other Country Groups,hens (for laying eggs),01059410,
13,01059420,دجاج لاحم,دول الجامعة العربية الاخرى,0,0,0,0,608,8,0,608,8,Other Arab League Countries,chickens (for meat),01059420,
14,01059420,دجاج لاحم,مجموعات دول آخرى,0,0,0,0,0,0,0,0,0,Other Country Groups,chickens (for meat),01059420,
15,01059490,غيرهـا من ديوك ودجاجات من جنسجالوس دوميستكوس,دول مجلس التعاون الخليجي,0,93,6,0,0,0,0,93,6,Gulf Cooperation Council,Other Fowls of the species Gallus domesticus,01059490,
16,01059490,غيرهـا من ديوك ودجاجات من جنسجالوس دوميستكوس,دول الجامعة العربية الاخرى,0,26,6,0,0,0,0,26,6,Other Arab League Countries,Other Fowls of the species Gallus domesticus,01059490,
17,01061320,جمال للمسابقات الرياضية والمزاينة,دول مجلس التعاون الخليجي,72022,8529,261,3076,801,4,75098,9330,265,Gulf Cooperation Council,Camels for sport and beauty contests,01061320,
18,01061320,جمال للمسابقات الرياضية والمزاينة,مجموعات دول آخرى,6,1,0,0,0,0,6,1,0,Other Country Groups,Camels for sport and beauty contests,01061320,
19,01061390,غيرها من جمال,دول مجلس التعاون الخليجي,3021,863,3,0,0,0,3021,863,3,Gulf Cooperation Council,Other of camels,01061390,
20,01063910,حمام اليف حمام بري ،حجل ، تدرج قطا,دول مجلس التعاون الخليجي,92391,56,1,0,0,0,92391,56,1,Gulf Cooperation Council,"TAME AND WILD PIGEONS,PARTRIDGES,PHEASANTS,QUAIL,SNIPE,",01063910,
21,01063910,حمام اليف حمام بري ،حجل ، تدرج قطا,مجموعات دول آخرى,200,0,0,0,0,0,200,0,0,Other Country Groups,"TAME AND WILD PIGEONS,PARTRIDGES,PHEASANTS,QUAIL,SNIPE,",01063910,
22,02023010,مفروم بقري وإن كان على هيئة أقراص (برغر),دول مجلس التعاون الخليجي,0,647,6,0,2,0,0,649,6,Gulf Cooperation Council,MINCED MEAT OF BOVINE ANIMALS,02023010,
23,02023010,مفروم بقري وإن كان على هيئة أقراص (برغر),دول الجامعة العربية الاخرى,0,116,1,0,0,0,0,116,1,Other Arab League Countries,MINCED MEAT OF BOVINE ANIMALS,02023010,
24,02023010,مفروم بقري وإن كان على هيئة أقراص (برغر),مجموعات دول آخرى,0,0,0,0,1,0,0,1,0,Other Country Groups,MINCED MEAT OF BOVINE ANIMALS,02023010,
25,02023090,غيرها من لحم بقري بدون عظام,دول مجلس التعاون الخليجي,0,1698,28,0,435,6,0,2133,34,Gulf Cooperation Council,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
26,02023090,غيرها من لحم بقري بدون عظام,دول الجامعة العربية الاخرى,0,238,5,0,4,0,0,241,5,Other Arab League Countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
27,02023090,غيرها من لحم بقري بدون عظام,دول اسلامية عدا العربية,0,39,1,0,0,0,0,39,1,Islamic not Arabic countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
28,02023090,غيرها من لحم بقري بدون عظام,دول اسيوية عدا العربية والاسلامية,0,0,0,0,122,1,0,122,1,"Asian not Arabic ,not Islamic",BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
29,02023090,غيرها من لحم بقري بدون عظام,دول استراليا وجزر الباسفيك,0,0,0,0,29,1,0,29,1,Australia and Oceania,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
30,02023090,غيرها من لحم بقري بدون عظام,دول امريكا الجنوبية,0,0,0,0,10,1,0,10,1,South America,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
31,02023090,غيرها من لحم بقري بدون عظام,مجموعات دول آخرى,0,2,0,0,25,0,0,27,0,Other Country Groups,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
32,02041000,ذبائح كاملة وأنصاف ذبائح حملان، طازجة أو مبردة,دول اسلامية عدا العربية,0,0,0,0,917,2,0,917,2,Islamic not Arabic countries,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000,
33,02041000,ذبائح كاملة وأنصاف ذبائح حملان، طازجة أو مبردة,مجموعات دول آخرى,0,1,0,0,327,1,0,327,1,Other Country Groups,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH",02041000,
34,02043000,ذبائح كاملة وأنصاف ذبائح حملان، مجمدة,دول الجامعة العربية الاخرى,0,0,0,0,130,1,0,130,1,Other Arab League Countries,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN",02043000,
35,02043000,ذبائح كاملة وأنصاف ذبائح حملان، مجمدة,مجموعات دول آخرى,0,47,0,0,75,0,0,122,0,Other Country Groups,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN",02043000,
36,02044100,ذبائح كاملة وأنصاف ذبائح من فصيلة الضأن، مجمدة,دول الجامعة العربية الاخرى,0,986,5,0,0,0,0,986,5,Other Arab League Countries,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",02044100,
37,02044310,مفروم غنم وان كان على هيئة اقراص للبرجر,دول مجلس التعاون الخليجي,0,437,3,0,0,0,0,437,3,Gulf Cooperation Council,"MINCED MEAT OF SHEEP, CHOPPED BURGER",02044310,
38,02044310,مفروم غنم وان كان على هيئة اقراص للبرجر,مجموعات دول آخرى,0,21,0,0,1,0,0,21,0,Other Country Groups,"MINCED MEAT OF SHEEP, CHOPPED BURGER",02044310,
39,02044390,غيرها من لحم ضأن بدون عظم,دول مجلس التعاون الخليجي,0,27,0,0,20,0,0,47,1,Gulf Cooperation Council,"BONELESS SHEEP MEAT ,FROZEN",02044390,
40,02044390,غيرها من لحم ضأن بدون عظم,دول الجامعة العربية الاخرى,0,37,1,0,1,0,0,38,1,Other Arab League Countries,"BONELESS SHEEP MEAT ,FROZEN",02044390,
41,02044390,غيرها من لحم ضأن بدون عظم,مجموعات دول آخرى,0,3,0,0,1,0,0,4,0,Other Country Groups,"BONELESS SHEEP MEAT ,FROZEN",02044390,
42,02071100,لحوم وأحشاء وأطراف دجاج (جالوس دوميستكوس) غير مقطعة مبردة,دول مجلس التعاون الخليجي,0,12905,235,0,0,0,0,12905,235,Gulf Cooperation Council,"MEAT, CONS. BWLS & EXTREM. OF TURKEY/CHICKEN:GALL. DOM.",02071100,
43,02071100,لحوم وأحشاء وأطراف دجاج (جالوس دوميستكوس) غير مقطعة مبردة,دول الجامعة العربية الاخرى,0,303,3,0,0,0,0,303,3,Other Arab League Countries,"MEAT, CONS. BWLS & EXTREM. OF TURKEY/CHICKEN:GALL. DOM.",02071100,
