,Unnamed: 0,Unnamed: 1,Unnamed: 2,الصادرات حسب الاصناف,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,R
0,,,,Exports According to commodities,,,,,,,,,,,,
1,,الوزن الف طن,القيمة (مليون ريال),عام  2019  Year,,,,,,,,,Weight Thousands Tons,Value (Millions S R),,
2,رمز السلعة,السلعة,مجموعة الدول,صادرات     Export,,,إعادة     ReExport,,,المجموع     Total,,,Country Group,Commodity,Commodity Code,
3,,,,الكمية,وزن,قيمة,الكمية,وزن,قيمة,الكمية,وزن,قيمة,,,,
4,,,,Units,Weight,Value,Units,Weight,Value,Units,Weight,Value,,,,
5,01012910,خيول للرياضة,دول مجلس التعاون الخليجي,202,0,0,147,0,1,349,0,1,Gulf Cooperation Council,HORSES FOR SPORT,01012910,
6,01012910,خيول للرياضة,دول الاتحاد الأوروبي,2,0,0,44,0,0,46,0,1,European Union,HORSES FOR SPORT,01012910,
7,01012910,خيول للرياضة,مجموعات دول آخرى,29,0,0,29,0,0,58,0,0,Other Country Groups,HORSES FOR SPORT,01012910,
8,01022100,أبقار أصيلة للانسال,دول مجلس التعاون الخليجي,345,0,3,0,0,0,345,0,3,Gulf Cooperation Council,PURE-BRED BREEDING BOVINE ANIMALS,01022100,
9,01041010,حيوانات من فصيله الضان اصيله للانسال,دول مجلس التعاون الخليجي,65730,2,38,32884,1,14,98614,3,52,Gulf Cooperation Council,PURE-BRED BREEDING SHEEP,01041010,
10,01041010,حيوانات من فصيله الضان اصيله للانسال,دول الجامعة العربية الاخرى,0,0,0,2725,0,1,2725,0,1,Other Arab League Countries,PURE-BRED BREEDING SHEEP,01041010,
11,01041090,حيوانات من فصيله الضان اخر,دول مجلس التعاون الخليجي,43186,1,25,0,0,0,43186,1,25,Gulf Cooperation Council,OTHER SHEEP,01041090,
12,01041090,حيوانات من فصيله الضان اخر,مجموعات دول آخرى,0,0,0,800,0,0,800,0,0,Other Country Groups,OTHER SHEEP,01041090,
13,01042010,ماعزاصيله للانسال,دول مجلس التعاون الخليجي,0,0,0,3490,0,1,3490,0,1,Gulf Cooperation Council,PURE-BRED BREEDING GOATS,01042010,
14,01059490,غيرهـا من ديوك ودجاجات من جنسجالوس دوميستكوس,دول مجلس التعاون الخليجي,0,0,15,0,0,0,0,0,15,Gulf Cooperation Council,Other Fowls of the species Gallus domesticus,01059490,
15,01059490,غيرهـا من ديوك ودجاجات من جنسجالوس دوميستكوس,دول الجامعة العربية الاخرى,0,0,43,0,0,0,0,0,43,Other Arab League Countries,Other Fowls of the species Gallus domesticus,01059490,
16,01059990,دجاج من فصائل اخرى غير فصيله جاللوس، دوميستيكوس،,دول مجلس التعاون الخليجي,1600,0,1,0,0,0,1600,0,1,Gulf Cooperation Council,"OTHER FOWLS, NOT GALLUS DOMESTICUS",01059990,
17,01059990,دجاج من فصائل اخرى غير فصيله جاللوس، دوميستيكوس،,مجموعات دول آخرى,0,0,0,2,0,0,2,0,0,Other Country Groups,"OTHER FOWLS, NOT GALLUS DOMESTICUS",01059990,
18,01061310,جمال أصيلة للانسال,دول مجلس التعاون الخليجي,881,0,1,2581,1,7,3462,1,8,Gulf Cooperation Council,Pure-bred breeding camels,01061310,
19,01061320,جمال للمسابقات الرياضية والمزاينة,دول مجلس التعاون الخليجي,12536,3,41,16619,4,42,29155,8,83,Gulf Cooperation Council,Camels for sport and beauty contests,01061320,
20,01061320,جمال للمسابقات الرياضية والمزاينة,دول الجامعة العربية الاخرى,0,0,0,227,0,1,227,0,1,Other Arab League Countries,Camels for sport and beauty contests,01061320,
21,02021000,ذبائح كاملة وأنصاف ذبائح من لحوم فصيلة الأبقار مجمدة,دول اسلامية عدا العربية,0,0,0,0,1,18,0,1,19,Islamic not Arabic countries,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,02021000,
22,02021000,ذبائح كاملة وأنصاف ذبائح من لحوم فصيلة الأبقار مجمدة,مجموعات دول آخرى,0,0,0,0,0,0,0,0,0,Other Country Groups,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,02021000,
23,02022000,قطع أخر بعظمها من لحوم فصيلة الأبقار مجمدة,دول اسيوية عدا العربية والاسلامية,0,0,0,0,0,2,0,0,2,"Asian not Arabic ,not Islamic",OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000,
24,02023010,مفروم بقري وإن كان على هيئة أقراص (برغر),دول مجلس التعاون الخليجي,0,0,1,0,0,0,0,0,1,Gulf Cooperation Council,MINCED MEAT OF BOVINE ANIMALS,02023010,
25,02023010,مفروم بقري وإن كان على هيئة أقراص (برغر),دول الجامعة العربية الاخرى,0,0,1,0,0,0,0,0,1,Other Arab League Countries,MINCED MEAT OF BOVINE ANIMALS,02023010,
26,02023090,غيرها من لحم بقري بدون عظام,دول مجلس التعاون الخليجي,0,3,48,0,1,8,0,3,57,Gulf Cooperation Council,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
27,02023090,غيرها من لحم بقري بدون عظام,دول الجامعة العربية الاخرى,0,0,2,0,0,7,0,0,9,Other Arab League Countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
28,02023090,غيرها من لحم بقري بدون عظام,دول اسلامية عدا العربية,0,0,0,0,1,16,0,1,16,Islamic not Arabic countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090,
