,Unnamed: 0,Unnamed: 1,Unnamed: 2,الصادرات حسب الاصناف,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,R
0,,,,Exports According to commodities,,,,,,,,,,,
1,,الوزن طن,القيمة بالالف ريال,عام  2013  Year,,,,,,,,,Weight Tons,Value  (000 S R),
2,رمز السلعة,السلعة,مجموعة الدول,صادرات     Export,,,إعادة     ReExport,,,المجموع     Total,,,Country Group,Commodity,Commodity Code
3,,,,الكمية,وزن,قيمة,الكمية,وزن,قيمة,الكمية,وزن,قيمة,,,
4,,,,Units,Weight,Value,Units,Weight,Value,Units,Weight,Value,,,
6996,84169000,اجزاء لاجهزه اشعال الافران ، والمواقد الاليه ، ...الخ,مجموعات دول آخرى,0,0,0,0,11,87,0,11,87,Other Country Groups,"PARTS FOR FURNACE BURNERS, MECHANICAL STOKERS, ETC.",84169000
6997,84172000,افران المخابز بما فيها افران صنع الفطائر والبسكويت,مجموعات دول آخرى,0,0,2,0,5,172,0,5,175,Other Country Groups,"BAKERY OVENS, INCLUDING BISCUIT OVENS",84172000
6998,84178090,غيرها من افران للصناعه او المختبرات غيركهربائيه,مجموعات دول آخرى,0,1,13,0,39,351,0,40,364,Other Country Groups,OTHER INDUSTRIAL OR LABORATORY FURNACES,84178090
6999,84179000,اجزاء لافران الصناعه او المختبرات,مجموعات دول آخرى,0,0,0,0,63,228,0,63,228,Other Country Groups,PARTS FOR INDUSTRIAL OR LABORATORY FURNACES,84179000
7000,84181000,ثلاجات - فريزرات مشتركه ، مجهزه بابواب خارجيه منفصله,مجموعات دول آخرى,0,10,34,0,34,52,0,44,86,Other Country Groups,"COMBINED REFRIGERATOR-FREEZERS, WITH SEPARATE DOORS",84181000
7001,84182100,ثلاجات منزليه من النوع الذى يعمل بالضغط,مجموعات دول آخرى,0,0,0,48,4,32,48,4,32,Other Country Groups,COMPRESSION-TYPE HOUSEHOLD REFRIGERATORS,84182100
7002,84182900,غيرها من ثلاجات منزليه,مجموعات دول آخرى,0,0,0,140,22,68,140,22,68,Other Country Groups,OTHER HOUSEHOLD REFRIGERATORS,84182900
7003,84183000,فريزرات بشكل صندوق ، لاتتجاوز سعتها 800 لترا,مجموعات دول آخرى,94,11,21,25,2,137,119,13,158,Other Country Groups,"FREEZERS OF THE CHEST TYPE, 800 L OR LESS",84183000
7004,84185000,طاولات ( كاونترات )ـ  تبريد او تجميد للعرض، ومايماثلها,دول اوروبا عدا دول الاتحاد الأوروبي,232,54,774,0,0,0,232,54,774,Europe not European Union,REFRIGERATING OR FREEZING DISPLAY COUNTERS AND THE LIKE,84185000
7005,84185000,طاولات ( كاونترات )ـ  تبريد او تجميد للعرض، ومايماثلها,مجموعات دول آخرى,51,5,61,159,16,257,210,21,319,Other Country Groups,REFRIGERATING OR FREEZING DISPLAY COUNTERS AND THE LIKE,84185000
7006,84186910,برادات لمياه الشرب,مجموعات دول آخرى,0,0,0,75,7,11,75,7,11,Other Country Groups,POTABLE WATER COOLERS,84186910
7007,84186940,غرف تبريد او تجميد تتجاوز سعتها 900 لتر,مجموعات دول آخرى,0,0,0,2,1,5,2,1,5,Other Country Groups,REFRIGERATING OR FREEZING ROOMS OVER 900 L,84186940
7008,84186990,غيرها من اجهزه تبريد ؛ مضخات حراريه,مجموعات دول آخرى,0,0,0,55,8,285,55,8,285,Other Country Groups,OTHER REFRIGERATION EQUIPMENT; HEAT PUMPS,84186990
7009,84189910,وحدات احداث البروده تعمل بالضغط,مجموعات دول آخرى,5,2,38,38,8,42,43,10,80,Other Country Groups,COMPRESSION-TYPE REFRIGERATING UNITS,84189910
