
"Paid Bill";"Due On";"Billed Amount";"Already Paid";"Currency";"Status";"Payment Method"
"1KT155154  EXPORT";"Jul 28, 2021";12,812.55;12,812.55;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT152661  EXPORT";"Jul 5, 2021";16,496.95;16,496.95;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"210975506  EXPORT";"Oct 27, 2021";752.00;752.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT129120  EXPORT";"Jun 30, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT129269  EXPORT";"Jul 13, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT148897  EXPORT";"Jul 1, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT102753  S_EXP?CREDIT";"Oct 27, 2021";-360.00;-360.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT149110  EXPORT";"Jul 11, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT152661  EXPORT";"Jul 5, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT154580  EXPORT";"Jul 15, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT123398  EXPORT";"Jun 28, 2021";593.77;593.77;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT168644  EXPORT";"Jul 31, 2021";13,216.00;13,216.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT176320  EXPORT";"Jul 26, 2021";14,968.16;14,968.16;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT157437  EXPORT";"Aug 15, 2021";19,312.92;19,312.92;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT157438  EXPORT";"Aug 3, 2021";19,312.92;19,312.92;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT164194  EXPORT";"Aug 15, 2021";19,312.92;19,312.92;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT157437  EXPORT";"Aug 15, 2021";240.00;240.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT157438  EXPORT";"Aug 3, 2021";1,560.00;1,560.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT155159  EXPORT";"Aug 3, 2021";13,385.20;13,385.20;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT157435  EXPORT";"Aug 15, 2021";14,489.24;14,489.24;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT164197  EXPORT";"Aug 4, 2021";15,166.04;15,166.04;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT168820  EXPORT";"Sep 27, 2021";17,562.56;17,562.56;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT155159  EXPORT";"Aug 3, 2021";800.00;800.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT157435  EXPORT";"Aug 15, 2021";1,400.00;1,400.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT168820  EXPORT";"Aug 1, 2021";1,200.00;1,200.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT120471  S_EXP?CREDIT";"Oct 27, 2021";-1,560.00;-1,560.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT190447  EXPORT";"Aug 15, 2021";13,541.88;13,541.88;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT176366  EXPORT";"Aug 17, 2021";15,103.52;15,103.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT178353  EXPORT";"Aug 24, 2021";15,464.48;15,464.48;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT176939";"Sep 5, 2021";-15,193.76;-15,193.76;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT176939  EXPORT";"Sep 5, 2021";38,768.96;38,768.96;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT190449  EXPORT";"Aug 17, 2021";13,541.88;13,541.88;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT176366  EXPORT";"Aug 17, 2021";120.00;120.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT132589  EXP?CREDIT";"Jul 15, 2021";-12,527.92;-12,527.92;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT132589  EXPORT";"Jul 15, 2021";12,527.92;12,527.92;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT194209  EXPORT";"Aug 17, 2021";15,164.95;15,164.95;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT194208  EXPORT";"Aug 10, 2021";15,164.95;15,164.95;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT194206  EXPORT";"Aug 17, 2021";15,164.95;15,164.95;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT187749  EXPORT";"Aug 19, 2021";15,164.95;15,164.95;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT187749  EXPORT";"Jul 23, 2021";1,080.00;1,080.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT187749  S_EXP?CREDIT";"Jul 23, 2021";-1,080.00;-1,080.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT187749  EXPORT";"Aug 19, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT210769  EXPORT";"Sep 2, 2021";13,540.09;13,540.09;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT203029  EXPORT";"Sep 5, 2021";13,540.09;13,540.09;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT168820";"Sep 27, 2021";-90.00;-90.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT149110  S_EXP?CREDIT";"Oct 27, 2021";-376.00;-376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT155159  EXPORT";"Sep 21, 2021";156.53;156.53;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT206430  EXPORT";"Oct 27, 2021";1,880.00;1,880.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT206432  EXPORT";"Oct 27, 2021";1,880.00;1,880.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT176939  S_EXP?CREDIT";"Sep 5, 2021";-23,575.20;-23,575.20;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT232367  EXPORT";"Sep 21, 2021";13,164.07;13,164.07;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT206431  EXPORT";"Sep 8, 2021";13,385.20;13,385.20;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT206431  EXPORT";"Sep 21, 2021";154.89;154.89;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT265227  EXPORT";"Oct 17, 2021";38,077.12;38,077.12;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT265227  EXPORT";"Sep 21, 2021";1,000.00;1,000.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT270516  EXPORT";"Oct 31, 2021";21,428.05;21,428.05;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT270516  EXPORT";"Oct 28, 2021";480.00;480.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT288327  EXPORT";"Nov 8, 2021";22,376.06;22,376.06;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT270517";"Nov 8, 2021";-21,057.78;-21,057.78;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT270517  EXPORT";"Nov 8, 2021";21,424.78;21,424.78;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT270516  EXPORT";"Oct 31, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT270517  EXPORT";"Oct 28, 2021";480.00;480.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT288327  EXPORT";"Nov 8, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT270517  EXP?CREDIT";"Oct 11, 2021";-376.00;-376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT270517  EXPORT";"Oct 31, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT293065  EXPORT";"Nov 21, 2021";23,845.52;23,845.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT293066  EXPORT";"Nov 15, 2021";23,845.52;23,845.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"913215536  EXPORT";"Nov 14, 2021";22,078.32;22,078.32;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT292672  EXPORT";"Nov 17, 2021";23,845.52;23,845.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT287877  EXPORT";"Nov 24, 2021";21,749.30;21,749.30;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT293046  EXPORT";"Nov 15, 2021";23,845.52;23,845.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"913242441  EXPORT";"Nov 21, 2021";17,062.48;17,062.48;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT297505";"Nov 21, 2021";-13,673.84;-13,673.84;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT297505  EXPORT";"Nov 23, 2021";22,997.28;22,997.28;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"SA00312091";"Nov 23, 2021";-9,323.44;-9,323.44;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT287877  EXPORT";"Oct 29, 2021";1,880.00;1,880.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT292672  EXPORT";"Nov 10, 2021";600.00;600.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT293065  EXPORT";"Nov 10, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT293046  EXPORT";"Nov 10, 2021";120.00;120.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT293066  EXPORT";"Nov 10, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT287877  S_EXP?CREDIT";"Oct 29, 2021";-1,880.00;-1,880.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"913298372  EXPORT";"Nov 29, 2021";17,415.92;17,415.92;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"913298372  EXPORT";"Nov 23, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT293046  EXPORT";"Nov 10, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT297486  EXPORT";"Dec 14, 2021";20,114.19;20,114.19;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT283314  EXPORT";"Dec 15, 2021";25,744.32;25,744.32;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT301991  EXPORT";"Dec 11, 2021";20,433.79;20,433.79;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT288327";"Nov 23, 2021";-376.00;-376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT283314  EXPORT";"Dec 15, 2021";5,200.00;5,200.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT302060  EXPORT";"Dec 15, 2021";17,528.72;17,528.72;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT302137  EXPORT";"Dec 20, 2021";13,891.01;13,891.01;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT302137  EXPORT";"Dec 19, 2021";1,080.00;1,080.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"913289175  EXPORT";"Dec 23, 2021";17,415.92;17,415.92;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"913289175  EXPORT";"Jan 19, 2022";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT297486  EXPORT";"Dec 16, 2021";3,280.00;3,280.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT306987  EXPORT";"Jan 18, 2022";24,935.92;24,935.92;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT311949  EXPORT";"Dec 23, 2021";15,850.83;15,850.83;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT311945  EXPORT";"Dec 23, 2021";15,850.83;15,850.83;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT317312  EXPORT";"Jan 18, 2022";14,915.70;14,915.70;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT312578";"Jan 20, 2022";-24,849.92;-24,849.92;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT312578  EXPORT";"Jan 20, 2022";27,849.92;27,849.92;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT317309";"Jan 23, 2022";-27,641.88;-27,641.88;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT317309  EXPORT";"Jan 23, 2022";27,993.20;27,993.20;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT306987  EXPORT";"Dec 15, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT311949  EXPORT";"Dec 23, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT311945  EXPORT";"Dec 23, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT312578  EXPORT";"Jan 19, 2022";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT317309  EXPORT";"Jan 19, 2022";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT317142  EXPORT";"Jan 18, 2022";14,740.55;14,740.55;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT317146  EXPORT";"Jan 18, 2022";27,970.24;27,970.24;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT318542  EXPORT";"Dec 23, 2021";17,618.96;17,618.96;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT311948  EXPORT";"Jan 18, 2022";15,842.67;15,842.67;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT311948  EXPORT";"Jan 19, 2022";720.00;720.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT318542  EXPORT";"Jan 19, 2022";120.00;120.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT317146  EXPORT";"Jan 19, 2022";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"SA00312091";"Dec 16, 2021";-367.00;-367.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT327793  EXPORT";"Jan 19, 2022";27,864.96;27,864.96;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT334935  EXPORT";"Jan 19, 2022";15,421.32;15,421.32;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT312578";"Jan 18, 2022";-3,000.00;-3,000.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"SA00312091";"Dec 23, 2021";-376.00;-376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"SA00312091";"Dec 23, 2021";-17,415.92;-17,415.92;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"SA00312091";"Dec 23, 2021";-376.00;-376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"SA00312091";"Dec 23, 2021";-17,915.70;-17,915.70;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"SA00312091";"Dec 23, 2021";-15,850.84;-15,850.84;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"SA00312091";"Dec 23, 2021";-15,850.83;-15,850.83;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"1KT334825  EXPORT";"Jan 19, 2022";451.20;451.20;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"216257624  EXPORT";"Feb 10, 2022";6,094.56;6,094.56;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
