
"Paid Bill";"Due On";"Billed Amount";"Already Paid";"Currency";"Status";"Payment Method"
"206568037  EXPORT";"Dec 13, 2020";225.60;225.60;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"206032387  EXPORT";"Dec 27, 2020";9,388.32;9,388.32;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"206639244  EXPORT";"Oct 27, 2021";376.00;376.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"206032387  EXPORT";"Dec 27, 2020";200.00;200.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"206639348  EXPORT";"Feb 3, 2021";8,805.52;8,805.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"206887647  EXPORT";"Dec 27, 2020";3,853.60;3,853.60;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"206639452  EXPORT";"Jan 25, 2021";11,546.56;11,546.56;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"206813240  EXPORT";"Jan 25, 2021";9,121.36;9,121.36;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"911631270  EXPORT";"Jan 3, 2021";6,654.80;6,654.80;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"206813240  EXPORT";"Jan 26, 2021";200.00;200.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"911631270  EXPORT";"Dec 31, 2020";120.00;120.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"206890946  EXPORT";"Jan 10, 2021";5,602.00;5,602.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207228614  EXPORT";"Jan 4, 2021";3,342.24;3,342.24;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207228614  EXPORT";"Jan 6, 2021";540.00;540.00;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
"207191886  EXPORT";"Feb 21, 2021";8,617.52;8,617.52;"SAR";"Processed";"Other&#x20;Payments&#x2f;Settlements"
