,Section Description,2021_Q3_mSAR,2021_Q4_mSAR
5,الحيوانات الحية والمنتجات الحيوانية,4706.252804,4526.153091
6,منتجات نباتية,8340.891727,7558.8666379999995
7,شحوم ودهون وزيوت حيوانية أو نباتية ومنتجات تفككها؛ دهون غذائية محضرة؛ شموع من أصل حيواني أو نباتي,1096.5884079999998,1099.6330779999998
8,منتجات صناعة الأغذية؛ مشروبات؛ سوائل كحولية وخل؛ تبغ وأبدال تبغ مصنعة,7006.645802000001,7373.740892
9,المنتجات المعدنية,8626.331296,8623.421906
10,منتجات الصناعات الكيماوية وما يتصل بها,15053.749638000001,15532.935367999999
11,لدائن ومصنوعاتها؛ مطاط ومصنوعاته,5735.614724999999,5355.059265
12,صلال وجلود خام و جلود مدبوغة وجلود بفراء ومصنوعات هذه المواد؛ أصناف عدة الحيوانات و السراجة؛ لوازم السفر؛ حقائب يدوية وأوعية مماثلة لها؛ مصنوعات من مصارين الحيوانات (عدا مصارين دودة القز),445.31853,426.14685299999996
13,خشـب ومصنوعاتــه؛ فحم خشبـــي؛ فلين ومصنوعاته؛ مصنوعات من القش أو من الحلفا أو من مواد الضفر الأُخر؛ أصناف صناعتي الحصر والسلال,1559.3178719999999,1523.8546780000001
14,عجائن من خشب أو من مواد ليفية سليلوزية أخر؛ ورق أو ورق مقوى (نفايا وفضلات) بغرض إعادة التصنيع (مسترجعة)؛ ورق وورق مقوى ومصنوعاتهما,1834.251064,1856.035267
15,مواد نسـجية ومصنوعات من هذه المواد,5265.496644,5289.98217
16,أحذية، أغطية رأس، مظلات مطر، مظلات شمس، عصي مشي، عصي بمقاعد، سياط، وسياط الفروسية، أجزاء هذه الأصناف؛ ريش محضر وأصناف مصنوعة منه؛ أزهار اصطناعية؛ مصنوعات من شعر بشري,1044.552202,875.018064
17,مصنوعات من حجر أو جص أو إسمنت أو حرير صخري (اسبستوس) أو ميكا أو من مواد مماثلة؛ مصنوعات من خزف؛ زجاج ومصنوعاته,1744.404144,1857.123988
18,لؤلؤ طبيعي أو مستنبت، أحجار كريمة أو شبه كريمة، معادن ثمينة، معادن عادية مكسوة بقشرة من معادن ثمينة، مصنوعات من هذه المواد؛ حلي الغواية (مقلدة)؛ نقود,4432.812363,5548.635918
19,معادن عادية ومصنوعاتها,13875.196698,15319.101000999999
20,"آلات وأجهزة آلية؛ معدات كهربائية؛ أجزاؤها؛ أجهزة تسجيل واذاعة الصوت والصورة وأجهزة تسجيل واذاعة الصوت والصورة في الإذاعة المرئية (التلفزيون)، أجزاء ولوازم هذه الأجهزة
",27815.685118,31557.284471
21,عربات، طائرات، بواخر، ومعدات نقل مماثلة,25416.158582,24157.388522
22,أدوات وأجهزة للبصريات أو للتصوير الفوتوغرافي أو للتصوير السينمائي أو للقياس أو للفحص والضبط الدقيق، أدوات وأجهزة للطب أو الجراحة؛ أصناف صناعة الساعات؛ أدوات موسيقية؛ أجزاء ولوازم هذه الأدوات والأجهزة,3713.4134689999996,4028.803242
23,أسلحة وذخائر؛ أجزاؤها ولوازمها,2817.120787,2349.0693220000003
24,سلع ومنتجات متـنوعة,3706.456827,3792.00799
25,تحف فنية، قطع للمجموعات وقطع أثرية,2319.568116,2488.478854
26,الإجمالي,146555.826816,151138.740578
