,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,الفهرس / Index
0,,,,,,,
1,الصادرات البترولية وغير البترولية,,,,,,
2,Oil and Non-oil Exports,,,,,,
3,السنة,Oil Exports  /  الصادرات البترولية,,Non-oil Exports  /  الصادرات غير البترولية,,,
4,,مليون ريال,نسبة من إجمالي الصادرات (%),مليون ريال,نسبة من إجمالي الصادرات (%),,
5,Year,Million Riyals,Share in Total Exports (%),Million Riyals,Share in Total Exports (%),,
6,2011,1191052.099035,87.08941420067801,176567.73164899996,12.910585799321991,,
7,2012,1265550.609938,86.88971713845149,190951.5535129998,13.110282861548516,,
8,2013,1207080.083757,85.63746953096374,202443.2129589999,14.362530469036264,,
9,2014,1067091.641953,83.09895941412537,217029.90358299995,16.90104058587463,,
10,2015,573411.984959,75.12146891138435,189901.07756300003,24.878531088615656,,
11,2016,510729.487152,74.18832211949479,177693.53221399995,25.81167788050521,,
12,2017,638402.283358,76.74199344275446,193479.00447200006,23.25800655724554,,
13,2018,868442.402326,78.67035238655383,235458.08366499993,21.329647613446166,,
14,2019,751828.128682,76.63798712366734,229184.23463700002,23.36201287633265,,
15,2020,447599.22526,68.65524622651746,204352.73742499994,31.34475377348253,,
