,Unnamed: 0.1,Quantity/Units,Weight(Tons),Value(1000 SAR),Country Group,Commodity,Commodity Code
736,21050000,0,584,1242,Other Arab League Countries,ICE CREAM AND OTHER EDIBLE ICE,21050000
737,21061000,0,1,317,European Union,PROTEIN CONCENTRATES AND TEXTURED PROTEIN,21061000
738,21069010,0,48,837,Gulf Cooperation Council,POWDERS FOR MAKING TABLE CREAM,21069010
739,21069010,0,97,604,Other Arab League Countries,POWDERS FOR MAKING TABLE CREAM,21069010
740,21069020,0,165,1644,Gulf Cooperation Council,POWDERS FOR MAKING TABLE JELLY,21069020
741,21069020,0,36,315,Other Arab League Countries,POWDERS FOR MAKING TABLE JELLY,21069020
742,21069030,0,78,437,Gulf Cooperation Council,POWDERS FOR MAKING ICE CREAM,21069030
743,21069030,0,39,389,Other Arab League Countries,POWDERS FOR MAKING ICE CREAM,21069030
744,21069092,0,89,660,Gulf Cooperation Council,PREPARATIONS FOR MAKING LEMONADE OR OTHER SOFT DRINKS,21069092
745,21069093,0,52,344,Gulf Cooperation Council,"PREPARATIONS, OFTEN REFERRED TO AS FOOD ADDITIVES",21069093
746,21069099,0,1503,17594,Gulf Cooperation Council,OTHER FOOD PREPARATIONS,21069099
747,21069099,0,1336,6266,Other Arab League Countries,OTHER FOOD PREPARATIONS,21069099
748,21069099,0,111,1099,Islamic not Arabic countries,OTHER FOOD PREPARATIONS,21069099
749,21069099,0,70,484,"Asian not Arabic ,not Islamic",OTHER FOOD PREPARATIONS,21069099
750,21069099,0,19,318,"African not Arabic,not Islamic",OTHER FOOD PREPARATIONS,21069099
751,21069099,0,16,2146,European Union,OTHER FOOD PREPARATIONS,21069099
752,02109900,0,1,11,Other Country Groups,Flour and Other Powders Suitable For Eating Meat or From The Bow,02109900
753,22021010,0,715,3696,Gulf Cooperation Council,"MINERAL WATERS, FLAVORED OR SWEETENED",22021010
754,22021021,0,6247,11947,Other Arab League Countries,LEMONADE  (PU7),22021021
755,22021022,0,155,312,Gulf Cooperation Council,ORANGE DRINK                         (3) (ADNIRIM;EKIL),22021022
756,22021022,0,13729,21493,Other Arab League Countries,ORANGE DRINK                         (3) (ADNIRIM;EKIL),22021022
757,22021022,0,654,1887,Islamic not Arabic countries,ORANGE DRINK                         (3) (ADNIRIM;EKIL),22021022
758,22021023,0,7422,24376,Gulf Cooperation Council,Cola Drink (Like Pepsi Cola),22021023
759,22021023,0,49247,94806,Other Arab League Countries,Cola Drink (Like Pepsi Cola),22021023
760,22021023,0,1047,4149,Islamic not Arabic countries,Cola Drink (Like Pepsi Cola),22021023
761,22021023,0,380,776,"Asian not Arabic ,not Islamic",Cola Drink (Like Pepsi Cola),22021023
762,22021023,0,2369,5192,"African not Arabic,not Islamic",Cola Drink (Like Pepsi Cola),22021023
763,22021023,0,111,338,Australia and Oceania,Cola Drink (Like Pepsi Cola),22021023
764,22021023,0,189,376,North America,Cola Drink (Like Pepsi Cola),22021023
765,22021023,0,2519,6735,European Union,Cola Drink (Like Pepsi Cola),22021023
766,22021029,0,272,709,Gulf Cooperation Council,Other of Cola Drink,22021029
767,22021029,0,6518,15461,Other Arab League Countries,Other of Cola Drink,22021029
768,22021029,0,821,1773,Islamic not Arabic countries,Other of Cola Drink,22021029
769,22021029,0,2520,1238,"Asian not Arabic ,not Islamic",Other of Cola Drink,22021029
770,22021029,0,428,1143,"African not Arabic,not Islamic",Other of Cola Drink,22021029
771,22021029,0,390,798,European Union,Other of Cola Drink,22021029
772,22021090,0,13460,58105,Gulf Cooperation Council,OTHER FLAVORED WATERS,22021090
773,22021090,0,68735,121506,Other Arab League Countries,OTHER FLAVORED WATERS,22021090
774,22021090,0,142,373,Islamic not Arabic countries,OTHER FLAVORED WATERS,22021090
775,22029010,0,909,2862,Other Arab League Countries,"NON-ALCOHOLIC BEVERAGES, BASED UPON MILK",22029010
776,22029060,0,31908,88888,Gulf Cooperation Council,"BEVERAGES NON GASEUS , SUGURED FRUIT FLAVORED",22029060
777,22029060,0,140246,281403,Other Arab League Countries,"BEVERAGES NON GASEUS , SUGURED FRUIT FLAVORED",22029060
778,22029060,0,1750,3141,Islamic not Arabic countries,"BEVERAGES NON GASEUS , SUGURED FRUIT FLAVORED",22029060
779,22029060,0,133,321,"Asian not Arabic ,not Islamic","BEVERAGES NON GASEUS , SUGURED FRUIT FLAVORED",22029060
