,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,الواردات حسب الأصناف والدول,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,,,,,,,Imports by Commodities and Countries,,,,,,,,,
1,,,,,,,,,,,,,,,,
2,,,,,,الوزن طن,القيمة مليون ريال,,عام,,2020,Year,,Value  (Million S R),Weight Tons,
3,,,,,,,,,,,الصادرات,,إعادة الصادرات,,المجموع,
4,,,,,,,,,,,Exports,,ReExports,,Total,
5,,الفصل,,,رقم البند,,,,,,الوزن,القيمة,الوزن,القيمة,الوزن,القيمة
6,,,وصف الفصل,Chapter Description,Item No.,الأصناف,Commodities,,,* سلع ذات وحدات عددية,Weight,Value,Weight,Value,Weight,Value
15438,,,,,,,,دول اسيوية عدا العربية والاسلامية,"ASIAN NOT ARABIC ,NOT ISLAMIC",,0,0,14.39,0.310313,14.39,0.310313
15439,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,,45.72,0.712301,215.985,1.230024,261.70500000000004,1.9423249999999999
15440,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,,0,0,127.15,2.657231,127.15,2.657231
15441,,,,,85021100,مجموعات توليد تشعل بالضغط تقل قدرتها عن 75 ك/ف/ا,"GENERATING SETS OF COMPRESSION ENGINES, 75 KVA OR LESS",,,,34.655,1.253406,416.053,3.7454729999999996,450.708,4.998879
15442,,,,,,,,دول اسلامية عدا العربية,ISLAMIC NOT ARABIC COUNTRIES,,0,0,2.161,0.077497,2.161,0.077497
15443,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,,0,0,2.685,0.052772,2.685,0.052772
15444,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,,7.055,0.198469,11.31,0.095685,18.365000000000002,0.294154
15445,,,,,,,,دول امريكا الشمالية,NORTH AMERICA,,0,0,0.058,0.01783,0.058,0.01783
15446,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,,27.6,1.054937,399.839,3.501689,427.439,4.556626
15447,,,,,85021200,مجموعه توليد تشعل بالضغط قدرتها (76-375 ك/ف/ا),"GENERATING SETS OF COMPRESSION ENGINES, 76 TO 375 KVA",,,,519.494,20.022368,865.131,10.088854,1384.625,30.111221999999998
