,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,الفهرس
0,,,,,,,
1,الواردات حسب الاقسام,,,,,,
2,رقم القسم,وصف القسم,الربع الرابع,الربع الثالث,الربع الرابع,,
3,,,2020,2021,2021,,
4,,,القيمة (مليون ريال),,,,
5,1,الحيوانات الحية والمنتجات الحيوانية,4620.311351,4706.252804,4526.153091,,
6,2,منتجات نباتية,7607.059606000001,8340.891727,7558.8666379999995,,
7,3,شحوم ودهون وزيوت حيوانية أو نباتية ومنتجات تفككها؛ دهون غذائية محضرة؛ شموع من أصل حيواني أو نباتي,825.368692,1096.5884079999998,1099.6330779999998,,
8,4,منتجات صناعة الأغذية؛ مشروبات؛ سوائل كحولية وخل؛ تبغ وأبدال تبغ مصنعة,7141.0048990000005,7006.645802000001,7373.740892,,
9,5,المنتجات المعدنية,5535.8025529999995,8626.331296,8623.421906,,
10,6,منتجات الصناعات الكيماوية وما يتصل بها,12117.994472999999,15053.749638000001,15532.935367999999,,
11,7,لدائن ومصنوعاتها؛ مطاط ومصنوعاته,4814.500599,5735.614724999999,5355.059265,,
12,8,صلال وجلود خام و جلود مدبوغة وجلود بفراء ومصنوعات هذه المواد؛ أصناف عدة الحيوانات و السراجة؛ لوازم السفر؛ حقائب يدوية وأوعية مماثلة لها؛ مصنوعات من مصارين الحيوانات (عدا مصارين دودة القز),369.866661,445.31853,426.14685299999996,,
13,9,خشـب ومصنوعاتــه؛ فحم خشبـــي؛ فلين ومصنوعاته؛ مصنوعات من القش أو من الحلفا أو من مواد الضفر الأُخر؛ أصناف صناعتي الحصر والسلال,1373.879844,1559.3178719999999,1523.8546780000001,,
14,10,عجائن من خشب أو من مواد ليفية سليلوزية أخر؛ ورق أو ورق مقوى (نفايا وفضلات) بغرض إعادة التصنيع (مسترجعة)؛ ورق وورق مقوى ومصنوعاتهما,1350.821829,1834.251064,1856.035267,,
15,11,مواد نسـجية ومصنوعات من هذه المواد,5139.934627,5265.496644,5289.98217,,
16,12,أحذية، أغطية رأس، مظلات مطر، مظلات شمس، عصي مشي، عصي بمقاعد، سياط، وسياط الفروسية، أجزاء هذه الأصناف؛ ريش محضر وأصناف مصنوعة منه؛ أزهار اصطناعية؛ مصنوعات من شعر بشري,776.17713,1044.552202,875.018064,,
17,13,مصنوعات من حجر أو جص أو إسمنت أو حرير صخري (اسبستوس) أو ميكا أو من مواد مماثلة؛ مصنوعات من خزف؛ زجاج ومصنوعاته,2152.209051,1744.404144,1857.123988,,
18,14,لؤلؤ طبيعي أو مستنبت، أحجار كريمة أو شبه كريمة، معادن ثمينة، معادن عادية مكسوة بقشرة من معادن ثمينة، مصنوعات من هذه المواد؛ حلي الغواية (مقلدة)؛ نقود,2261.789898,4432.812363,5548.635918,,
19,15,معادن عادية ومصنوعاتها,12254.541985,13875.196698,15319.101000999999,,
20,16,"آلات وأجهزة آلية؛ معدات كهربائية؛ أجزاؤها؛ أجهزة تسجيل واذاعة الصوت والصورة وأجهزة تسجيل واذاعة الصوت والصورة في الإذاعة المرئية (التلفزيون)، أجزاء ولوازم هذه الأجهزة
",30560.045583,27815.685118,31557.284471,,
21,17,عربات، طائرات، بواخر، ومعدات نقل مماثلة,23577.269694,25416.158582,24157.388522,,
22,18,أدوات وأجهزة للبصريات أو للتصوير الفوتوغرافي أو للتصوير السينمائي أو للقياس أو للفحص والضبط الدقيق، أدوات وأجهزة للطب أو الجراحة؛ أصناف صناعة الساعات؛ أدوات موسيقية؛ أجزاء ولوازم هذه الأدوات والأجهزة,4157.516126,3713.4134689999996,4028.803242,,
23,19,أسلحة وذخائر؛ أجزاؤها ولوازمها,4352.742996999999,2817.120787,2349.0693220000003,,
24,20,سلع ومنتجات متـنوعة,3752.200963,3706.456827,3792.00799,,
25,21,تحف فنية، قطع للمجموعات وقطع أثرية,2487.448574,2319.568116,2488.478854,,
26,,الإجمالي,137228.48713500003,146555.826816,151138.740578,,
