,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,الفهرس
0,,,,,,,
1,الصادرات حسب الاقسام,,,,,,
2,رقم القسم,وصف القسم,الربع الرابع,الربع الثالث,الربع الرابع,,
3,,,2020,2021,2021,,
4,,,القيمة (مليون ريال),,,,
5,1,الحيوانات الحية والمنتجات الحيوانية,1305.2554289999998,1261.434116,1533.3491880000001,,
6,2,منتجات نباتية,435.302366,299.184048,531.968384,,
7,3,شحوم ودهون وزيوت حيوانية أو نباتية ومنتجات تفككها؛ دهون غذائية محضرة؛ شموع من أصل حيواني أو نباتي,212.914862,340.523261,415.289859,,
8,4,منتجات صناعة الأغذية؛ مشروبات؛ سوائل كحولية وخل؛ تبغ وأبدال تبغ مصنعة,1498.4968979999999,1742.577819,1937.558877,,
9,5,المنتجات المعدنية,122612.141296,207865.871133,241827.571306,,
10,6,منتجات الصناعات الكيماوية وما يتصل بها,15043.285686,21384.84576,25983.916057000002,,
11,7,لدائن ومصنوعاتها؛ مطاط ومصنوعاته,18450.214072,24107.048874,24445.240573,,
12,8,صلال وجلود خام و جلود مدبوغة وجلود بفراء ومصنوعات هذه المواد؛ أصناف عدة الحيوانات و السراجة؛ لوازم السفر؛ حقائب يدوية وأوعية مماثلة لها؛ مصنوعات من مصارين الحيوانات (عدا مصارين دودة القز),44.435672,52.724745,59.655669,,
13,9,خشـب ومصنوعاتــه؛ فحم خشبـــي؛ فلين ومصنوعاته؛ مصنوعات من القش أو من الحلفا أو من مواد الضفر الأُخر؛ أصناف صناعتي الحصر والسلال,84.230324,97.557234,240.464454,,
14,10,عجائن من خشب أو من مواد ليفية سليلوزية أخر؛ ورق أو ورق مقوى (نفايا وفضلات) بغرض إعادة التصنيع (مسترجعة)؛ ورق وورق مقوى ومصنوعاتهما,665.078892,600.362717,876.2539239999999,,
15,11,مواد نسـجية ومصنوعات من هذه المواد,603.674072,641.157285,721.588806,,
16,12,أحذية، أغطية رأس، مظلات مطر، مظلات شمس، عصي مشي، عصي بمقاعد، سياط، وسياط الفروسية، أجزاء هذه الأصناف؛ ريش محضر وأصناف مصنوعة منه؛ أزهار اصطناعية؛ مصنوعات من شعر بشري,15.338783,26.326731000000002,20.587657,,
17,13,مصنوعات من حجر أو جص أو إسمنت أو حرير صخري (اسبستوس) أو ميكا أو من مواد مماثلة؛ مصنوعات من خزف؛ زجاج ومصنوعاته,450.65293299999996,552.659798,559.328708,,
18,14,لؤلؤ طبيعي أو مستنبت، أحجار كريمة أو شبه كريمة، معادن ثمينة، معادن عادية مكسوة بقشرة من معادن ثمينة، مصنوعات من هذه المواد؛ حلي الغواية (مقلدة)؛ نقود,2314.5106100000003,940.173355,1765.101166,,
19,15,معادن عادية ومصنوعاتها,4593.802551000001,5559.126488,6318.561156,,
20,16,آلات وأجهزة آلية؛ معدات كهربائية؛ أجزاؤها؛ أجهزة تسجيل واذاعة الصوت والصورة وأجهزة تسجيل واذاعة الصوت والصورة في الإذاعة المرئية (التلفزيون)، أجزاء ولوازم هذه الأجهزة,3162.5462230000003,3682.140723,4153.832749,,
21,17,عربات، طائرات، بواخر، ومعدات نقل مماثلة,6733.871840000001,5214.760101,8013.488632,,
22,18,أدوات وأجهزة للبصريات أو للتصوير الفوتوغرافي أو للتصوير السينمائي أو للقياس أو للفحص والضبط الدقيق، أدوات وأجهزة للطب أو الجراحة؛ أصناف صناعة الساعات؛ أدوات موسيقية؛ أجزاء ولوازم هذه الأدوات والأجهزة,550.830881,432.1739,496.040799,,
23,19,أسلحة وذخائر؛ أجزاؤها ولوازمها,93.05719599999999,55.136520999999995,65.337838,,
24,20,سلع ومنتجات متـنوعة,430.833581,1029.8664330000001,426.542556,,
25,21,تحف فنية، قطع للمجموعات وقطع أثرية,743.211463,76.19626199999999,72.368307,,
26,,الإجمالي,180043.68563000005,275961.8473040001,320464.04666500003,,
