,2021_Q1_mSAR,2021_Q2_mSAR,Section Description,Section_Num
6,1330.587771,1246.109388,Live animals; animal products,1
7,730.502396,314.094411,Vegetable products,2
8,321.66514099999995,370.525448,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,3
9,1696.1963719999999,1528.11005,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",4
10,153464.47908999998,174107.25942599998,Mineral products,5
11,16300.379878,20380.136109,Products of the chemical or allied industries,6
12,19985.167271,22491.160149000003,Plastics and articles thereof; rubber and articles thereof,7
13,44.924199,56.041112,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",8
14,89.550115,65.96973,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",9
15,632.558423,651.007586,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,10
16,580.317155,664.985823,Textiles and textile articles,11
17,18.075837,16.232383,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",12
18,481.39029700000003,935.2958189999999,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",13
19,1450.564738,1660.977839,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin",14
20,4668.346479,5827.190528,Base metals and articles of base metal,15
21,3455.493792,3563.738985,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",16
22,5996.794554,3708.8087240000004,"Vehicles, aircraft, vessels and associated transport equipment",17
23,581.6104829999999,459.15081,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",18
24,162.24558699999997,71.72885500000001,Arms and ammunition; parts and accessories thereof,19
25,452.72996300000005,426.777643,Miscellaneous manufactured articles,20
26,83.345221,77.387474,"Works of art, collectors' pieces and antiques",21
27,212526.92476199995,238622.68829199998,Total,
