,Quantity/Units,Weight(1000 Tons),Value(million SAR),Country Group,Commodity,Commodity Code
3607,0,0,1,Gulf Cooperation Council,OTHER HOUSEHOLD PORCELAIN OR CHINA ARTICLES,69119000
3608,0,0,1,European Union,OTHER HOUSEHOLD PORCELAIN OR CHINA ARTICLES,69119000
3609,0,0,1,Other Country Groups,OTHER HOUSEHOLD PORCELAIN OR CHINA ARTICLES,69119000
3610,0,0,2,Gulf Cooperation Council,"CERAMIC TABLEWARE, KITCHENWARE AND OTHER ARTICLES",69120000
3611,0,0,5,Other Arab League Countries,"CERAMIC TABLEWARE, KITCHENWARE AND OTHER ARTICLES",69120000
3612,0,1,9,Islamic not Arabic countries,"CERAMIC TABLEWARE, KITCHENWARE AND OTHER ARTICLES",69120000
3613,0,0,7,"Asian not Arabic ,not Islamic","CERAMIC TABLEWARE, KITCHENWARE AND OTHER ARTICLES",69120000
3614,0,0,1,"African not Arabic,not Islamic","CERAMIC TABLEWARE, KITCHENWARE AND OTHER ARTICLES",69120000
3615,0,0,3,North America,"CERAMIC TABLEWARE, KITCHENWARE AND OTHER ARTICLES",69120000
3616,0,0,6,European Union,"CERAMIC TABLEWARE, KITCHENWARE AND OTHER ARTICLES",69120000
3617,0,0,1,Europe not European Union,"CERAMIC TABLEWARE, KITCHENWARE AND OTHER ARTICLES",69120000
3618,0,0,0,Other Country Groups,"CERAMIC TABLEWARE, KITCHENWARE AND OTHER ARTICLES",69120000
3619,0,2,2,Gulf Cooperation Council,CULLET AND OTHER WASTE AND SCRAP OF GLASS,70010000
3620,0,1,0,Other Country Groups,CULLET AND OTHER WASTE AND SCRAP OF GLASS,70010000
3621,0,24,37,Gulf Cooperation Council,OTHER NON-WIRED SHEETS OF CAST GLASS,70031900
3622,0,0,0,Other Country Groups,OTHER NON-WIRED SHEETS OF CAST GLASS,70031900
3623,0,0,1,Gulf Cooperation Council,"DRAWN OR BLOWN GLASS, COLORED",70042000
3624,0,53,90,Gulf Cooperation Council,OTHER DRAWN OR BLOWN GLASS,70049000
3625,0,16,22,Other Arab League Countries,OTHER DRAWN OR BLOWN GLASS,70049000
3626,0,8,9,Islamic not Arabic countries,OTHER DRAWN OR BLOWN GLASS,70049000
3627,0,6,6,"Asian not Arabic ,not Islamic",OTHER DRAWN OR BLOWN GLASS,70049000
