,Quantity/Units,Weights (Tons),Value(1000 SAR),Country Name,Country Code,Description,Commodity Code,value in Millions
4,3292,368,3004,UNITED ARAB EMIRATES,120,OTHER BOVINE ANIMALS,1022900,3.004
5,48652,19013,144297,BRAZIL,439,OTHER BOVINE ANIMALS,1022900,144.297
6,9228,4186,44258,SPAIN,526,OTHER BOVINE ANIMALS,1022900,44.258
7,17860,7035,75210,ROMANIA,540,OTHER BOVINE ANIMALS,1022900,75.21
8,5069,2031,19504,UKRAINE,544,OTHER BOVINE ANIMALS,1022900,19.504
9,28302,1231,19404,JORDAN,112,PURE-BRED BREEDING SHEEP,1041010,19.404
10,18375,564,10401,KUWAIT,113,PURE-BRED BREEDING SHEEP,1041010,10.401
11,167012,6335,63950,GEORGIA,160,PURE-BRED BREEDING SHEEP,1041010,63.95
12,899583,39090,508782,SUDAN,215,PURE-BRED BREEDING SHEEP,1041010,508.782
13,111363,2784,18540,DJIBOUTI,241,PURE-BRED BREEDING SHEEP,1041010,18.54
14,197172,4941,35521,SOMALIA,242,PURE-BRED BREEDING SHEEP,1041010,35.521
15,35190,1619,20454,URUGUAY,441,PURE-BRED BREEDING SHEEP,1041010,20.454
16,271758,11448,157291,SPAIN,526,PURE-BRED BREEDING SHEEP,1041010,157.291
17,810269,34015,417371,ROMANIA,540,PURE-BRED BREEDING SHEEP,1041010,417.371
18,12917,560,5595,UKRAINE,544,PURE-BRED BREEDING SHEEP,1041010,5.595
19,1571,54,653,Other Countries,997,PURE-BRED BREEDING SHEEP,1041010,0.653
20,457293,19695,318395,JORDAN,112,OTHER SHEEP,1041090,318.395
21,1914,73,1115,JORDAN,112,OTHER GOATS,1042090,1.115
22,3984,68,1133,SUDAN,215,OTHER GOATS,1042090,1.133
23,12954,194,1797,ETHIOPIA,240,OTHER GOATS,1042090,1.797
24,103361,2584,17328,DJIBOUTI,241,OTHER GOATS,1042090,17.328
25,197165,4940,35521,SOMALIA,242,OTHER GOATS,1042090,35.521
26,1698,58,506,Other Countries,997,OTHER GOATS,1042090,0.506
27,59410,3,1568,U.S.A,410,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",1051100,1.568
28,358782,12,18997,UNITED KINGDOM,521,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",1051100,18.997
29,37950,2,3658,"EUROPEAN UNION, N.E.S",950,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",1051100,3.658
30,22800,1,259,Other Countries,997,"FOWLS OF GALLUS DOMESTICUS, NOT MORE THAN 185 GRAMS",1051100,0.259
31,0,12,2404,JORDAN,112,Other Fowls of the species Gallus domesticus,1059490,2.404
32,0,2,1044,NETHERLANDS,518,Other Fowls of the species Gallus domesticus,1059490,1.044
33,0,53,20075,UNITED KINGDOM,521,Other Fowls of the species Gallus domesticus,1059490,20.075
34,0,13,5809,FRANCE,522,Other Fowls of the species Gallus domesticus,1059490,5.809
35,0,4,1743,SPAIN,526,Other Fowls of the species Gallus domesticus,1059490,1.743
36,0,21,7191,"EUROPEAN UNION, N.E.S",950,Other Fowls of the species Gallus domesticus,1059490,7.191
37,0,1,450,Other Countries,997,Other Fowls of the species Gallus domesticus,1059490,0.45
38,2135,521,2473,KUWAIT,113,Camels for sport and beauty contests,1061320,2.473
39,16185,3265,29900,UNITED ARAB EMIRATES,120,Camels for sport and beauty contests,1061320,29.9
40,151,44,344,Other Countries,997,Camels for sport and beauty contests,1061320,0.344
41,1462,198,2983,UNITED ARAB EMIRATES,120,Other of camels,1061390,2.983
42,2655,797,11562,SUDAN,215,Other of camels,1061390,11.562
43,1162,349,2042,ETHIOPIA,240,Other of camels,1061390,2.042
44,14359,7106,24348,DJIBOUTI,241,Other of camels,1061390,24.348
45,45174,13499,58536,SOMALIA,242,Other of camels,1061390,58.536
46,0,1310,71483,EGYPT,214,BEES,1064100,71.483
47,0,9,390,Other Countries,997,BEES,1064100,0.39
48,0,9102,178963,PAKISTAN,129,BONELESS MEAT OF FRESH BOVINE ANIMALS,2013000,178.963
49,0,3048,64337,INDIA,131,BONELESS MEAT OF FRESH BOVINE ANIMALS,2013000,64.337
50,0,1245,26474,SUDAN,215,BONELESS MEAT OF FRESH BOVINE ANIMALS,2013000,26.474
51,0,5026,118637,ETHIOPIA,240,BONELESS MEAT OF FRESH BOVINE ANIMALS,2013000,118.637
52,0,2122,51395,KENYA,244,BONELESS MEAT OF FRESH BOVINE ANIMALS,2013000,51.395
53,0,3350,159391,AUSTRALIA,310,BONELESS MEAT OF FRESH BOVINE ANIMALS,2013000,159.391
54,0,525,18846,NEW ZEALAND,313,BONELESS MEAT OF FRESH BOVINE ANIMALS,2013000,18.846
55,0,42,3768,U.S.A,410,BONELESS MEAT OF FRESH BOVINE ANIMALS,2013000,3.768
56,0,158,5660,CANADA,411,BONELESS MEAT OF FRESH BOVINE ANIMALS,2013000,5.66
57,0,886,14518,COLOMBIA,433,BONELESS MEAT OF FRESH BOVINE ANIMALS,2013000,14.518
58,0,11875,221526,BRAZIL,439,BONELESS MEAT OF FRESH BOVINE ANIMALS,2013000,221.526
59,0,90,2907,IRELAND,500,BONELESS MEAT OF FRESH BOVINE ANIMALS,2013000,2.907
60,0,132,8280,NETHERLANDS,518,BONELESS MEAT OF FRESH BOVINE ANIMALS,2013000,8.28
61,0,75,2449,UNITED KINGDOM,521,BONELESS MEAT OF FRESH BOVINE ANIMALS,2013000,2.449
62,0,841,36667,RUSSIAN FEDERATION,551,BONELESS MEAT OF FRESH BOVINE ANIMALS,2013000,36.667
63,0,29,1390,Other Countries,997,BONELESS MEAT OF FRESH BOVINE ANIMALS,2013000,1.39
64,0,3759,43836,INDIA,131,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,2021000,43.836
65,0,1825,48731,AUSTRALIA,310,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,2021000,48.731
66,0,342,8079,NEW ZEALAND,313,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,2021000,8.079
67,0,49,1097,U.S.A,410,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,2021000,1.097
68,0,1019,19593,BRAZIL,439,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,2021000,19.593
69,0,160,4632,NETHERLANDS,518,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,2021000,4.632
70,0,34,1040,UNITED KINGDOM,521,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,2021000,1.04
71,0,271,12777,RUSSIAN FEDERATION,551,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,2021000,12.777
72,0,59,2134,Other Countries,997,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,2021000,2.134
73,0,7811,79322,INDIA,131,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,2022000,79.322
74,0,2445,51659,AUSTRALIA,310,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,2022000,51.659
75,0,452,9231,NEW ZEALAND,313,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,2022000,9.231
76,0,73,2330,U.S.A,410,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,2022000,2.33
77,0,200,9946,CANADA,411,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,2022000,9.946
78,0,72,1672,COLOMBIA,433,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,2022000,1.672
79,0,4898,77406,BRAZIL,439,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,2022000,77.406
80,0,412,10168,NETHERLANDS,518,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,2022000,10.168
81,0,110,3105,POLAND,533,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,2022000,3.105
82,0,77,2839,RUSSIAN FEDERATION,551,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,2022000,2.839
83,0,73,1183,Other Countries,997,OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,2022000,1.183
84,0,836,10656,INDIA,131,MINCED MEAT OF BOVINE ANIMALS,2023010,10.656
85,0,330,11369,AUSTRALIA,310,MINCED MEAT OF BOVINE ANIMALS,2023010,11.369
86,0,357,7905,U.S.A,410,MINCED MEAT OF BOVINE ANIMALS,2023010,7.905
87,0,135,3270,CANADA,411,MINCED MEAT OF BOVINE ANIMALS,2023010,3.27
88,0,36,940,Other Countries,997,MINCED MEAT OF BOVINE ANIMALS,2023010,0.94
89,0,696,13726,JORDAN,112,BONELESS MEAT OF FROZEN BOVINE ANIMALS,2023090,13.726
90,0,352,7634,UNITED ARAB EMIRATES,120,BONELESS MEAT OF FROZEN BOVINE ANIMALS,2023090,7.634
91,0,84,1083,PAKISTAN,129,BONELESS MEAT OF FROZEN BOVINE ANIMALS,2023090,1.083
92,0,17760,209702,INDIA,131,BONELESS MEAT OF FROZEN BOVINE ANIMALS,2023090,209.702
93,0,2869,74461,AUSTRALIA,310,BONELESS MEAT OF FROZEN BOVINE ANIMALS,2023090,74.461
94,0,429,7598,NEW ZEALAND,313,BONELESS MEAT OF FROZEN BOVINE ANIMALS,2023090,7.598
95,0,422,14872,U.S.A,410,BONELESS MEAT OF FROZEN BOVINE ANIMALS,2023090,14.872
96,0,319,11812,CANADA,411,BONELESS MEAT OF FROZEN BOVINE ANIMALS,2023090,11.812
97,0,476,4514,COLOMBIA,433,BONELESS MEAT OF FROZEN BOVINE ANIMALS,2023090,4.514
98,0,21453,300841,BRAZIL,439,BONELESS MEAT OF FROZEN BOVINE ANIMALS,2023090,300.841
99,0,460,11341,NETHERLANDS,518,BONELESS MEAT OF FROZEN BOVINE ANIMALS,2023090,11.341
100,0,866,8445,POLAND,533,BONELESS MEAT OF FROZEN BOVINE ANIMALS,2023090,8.445
101,0,200,7077,RUSSIAN FEDERATION,551,BONELESS MEAT OF FROZEN BOVINE ANIMALS,2023090,7.077
102,0,150,2272,Other Countries,997,BONELESS MEAT OF FROZEN BOVINE ANIMALS,2023090,2.272
103,0,171,4817,PAKISTAN,129,"OTHER CUTS WITH BONE IN OF SHEEP, FRESH",2042200,4.817
104,0,1051,33751,AUSTRALIA,310,"OTHER CUTS WITH BONE IN OF SHEEP, FRESH",2042200,33.751
105,0,65,2043,NEW ZEALAND,313,"OTHER CUTS WITH BONE IN OF SHEEP, FRESH",2042200,2.043
106,0,18,668,Other Countries,997,"OTHER CUTS WITH BONE IN OF SHEEP, FRESH",2042200,0.668
107,0,49,1038,SUDAN,215,"BONELESS SHEEP MEAT, FRESH",2042300,1.038
108,0,773,20315,AUSTRALIA,310,"BONELESS SHEEP MEAT, FRESH",2042300,20.315
109,0,29,1065,UNITED KINGDOM,521,"BONELESS SHEEP MEAT, FRESH",2042300,1.065
110,0,5,169,Other Countries,997,"BONELESS SHEEP MEAT, FRESH",2042300,0.169
111,0,2001,37674,AUSTRALIA,310,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",2044100,37.674
112,0,1823,39257,NEW ZEALAND,313,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",2044100,39.257
113,0,588,9363,SPAIN,526,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",2044100,9.363
114,0,71,1251,Other Countries,997,"CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN",2044100,1.251
115,0,125,3137,INDIA,131,"OTHER CUTS WITH BONE IN OF SHEEP, FROZEN",2044200,3.137
116,0,3547,79387,AUSTRALIA,310,"OTHER CUTS WITH BONE IN OF SHEEP, FROZEN",2044200,79.387
117,0,3406,78761,NEW ZEALAND,313,"OTHER CUTS WITH BONE IN OF SHEEP, FROZEN",2044200,78.761
118,0,76,1380,BRAZIL,439,"OTHER CUTS WITH BONE IN OF SHEEP, FROZEN",2044200,1.38
119,0,390,7003,SPAIN,526,"OTHER CUTS WITH BONE IN OF SHEEP, FROZEN",2044200,7.003
120,0,51,847,Other Countries,997,"OTHER CUTS WITH BONE IN OF SHEEP, FROZEN",2044200,0.847
121,0,234,3329,INDIA,131,"BONELESS SHEEP MEAT ,FROZEN",2044390,3.329
122,0,2679,38248,AUSTRALIA,310,"BONELESS SHEEP MEAT ,FROZEN",2044390,38.248
123,0,932,21263,NEW ZEALAND,313,"BONELESS SHEEP MEAT ,FROZEN",2044390,21.263
124,0,729,9594,BRAZIL,439,"BONELESS SHEEP MEAT ,FROZEN",2044390,9.594
125,0,41,504,Other Countries,997,"BONELESS SHEEP MEAT ,FROZEN",2044390,0.504
126,0,118,3923,AUSTRALIA,310,FRESH OR CHILLED BONELESS GOAT MEAT,2045031,3.923
127,0,411,12401,NEW ZEALAND,313,FRESH OR CHILLED BONELESS GOAT MEAT,2045031,12.401
128,0,11,247,Other Countries,997,FRESH OR CHILLED BONELESS GOAT MEAT,2045031,0.247
129,0,3243,21440,AUSTRALIA,310,"LIVERS OF SHEEP AND GOATS, FROZEN",2069012,21.44
130,0,1420,8303,NEW ZEALAND,313,"LIVERS OF SHEEP AND GOATS, FROZEN",2069012,8.303
131,0,48,317,Other Countries,997,"LIVERS OF SHEEP AND GOATS, FROZEN",2069012,0.317
132,0,3382,25082,AUSTRALIA,310,"OTHER OFFAL OF SHEEP AND GOATS, FROZEN",2069019,25.082
133,0,2572,17344,NEW ZEALAND,313,"OTHER OFFAL OF SHEEP AND GOATS, FROZEN",2069019,17.344
134,0,53,604,Other Countries,997,"OTHER OFFAL OF SHEEP AND GOATS, FROZEN",2069019,0.604
135,0,782,6825,JORDAN,112,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,2071200,6.825
136,0,183,1166,U.S.A,410,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,2071200,1.166
137,0,298895,1836688,BRAZIL,439,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,2071200,1836.688
138,0,4154,22280,ARGENTINA,442,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,2071200,22.28
139,0,67605,398914,FRANCE,522,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,2071200,398.914
140,0,715,4020,TURKEY,525,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,2071200,4.02
141,0,489,2892,POLAND,533,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,2071200,2.892
142,0,36611,211811,UKRAINE,544,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,2071200,211.811
143,0,4978,28700,RUSSIAN FEDERATION,551,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,2071200,28.7
144,0,25,140,Other Countries,997,UNCUT FROZEN MEAT AND BOWELS: SEX OF GALLUS DOMESTICUS,2071200,0.14
145,0,914,15281,JORDAN,112," Cuts and offal, frozen(chikens)",2071400,15.281
146,0,155,2147,BAHRAIN,116," Cuts and offal, frozen(chikens)",2071400,2.147
147,0,8779,114632,UNITED ARAB EMIRATES,120," Cuts and offal, frozen(chikens)",2071400,114.632
148,0,152723,1205154,BRAZIL,439," Cuts and offal, frozen(chikens)",2071400,1205.154
149,0,8584,64338,ARGENTINA,442," Cuts and offal, frozen(chikens)",2071400,64.338
150,0,4629,36290,TURKEY,525," Cuts and offal, frozen(chikens)",2071400,36.29
151,0,31528,237257,UKRAINE,544," Cuts and offal, frozen(chikens)",2071400,237.257
152,0,9135,69555,RUSSIAN FEDERATION,551," Cuts and offal, frozen(chikens)",2071400,69.555
153,0,195,1555,Other Countries,997," Cuts and offal, frozen(chikens)",2071400,1.555
154,0,51,1045,JORDAN,112,"FROZEN PARTS, BOWELS AND EXTREMITIES OF TURKEY.",2072700,1.045
155,0,200,4043,TURKEY,525,"FROZEN PARTS, BOWELS AND EXTREMITIES OF TURKEY.",2072700,4.043
156,0,1148,24062,POLAND,533,"FROZEN PARTS, BOWELS AND EXTREMITIES OF TURKEY.",2072700,24.062
157,0,53,670,Other Countries,997,"FROZEN PARTS, BOWELS AND EXTREMITIES OF TURKEY.",2072700,0.67
158,0,551,6271,JORDAN,112,FROZEN PIGEON OR SIMILAR MEAT,2089032,6.271
159,0,3656,15619,POLAND,533,FROZEN PIGEON OR SIMILAR MEAT,2089032,15.619
160,0,51,589,Other Countries,997,FROZEN PIGEON OR SIMILAR MEAT,2089032,0.589
161,0,587,17376,UNITED ARAB EMIRATES,120,OTHER LIVE FISH,3019900,17.376
162,0,28,392,Other Countries,997,OTHER LIVE FISH,3019900,0.392
163,0,23106,114713,SULTANATE OF OMAN,119,"TROUT, FRESH",3021100,114.713
164,0,52,552,Other Countries,997,"TROUT, FRESH",3021100,0.552
165,0,69,3874,UNITED ARAB EMIRATES,120,OTHER FRESH SALMONIDAE,3021400,3.874
166,0,4473,128951,NORWAY,512,OTHER FRESH SALMONIDAE,3021400,128.951
167,0,46,1335,Other Countries,997,OTHER FRESH SALMONIDAE,3021400,1.335
168,0,331,5128,PAKISTAN,129,OTHER FRESH FLAT FISH,3022900,5.128
169,0,195,2947,INDIA,131,OTHER FRESH FLAT FISH,3022900,2.947
170,0,303,4434,SRI LANKA,132,OTHER FRESH FLAT FISH,3022900,4.434
171,0,275,4476,INDONESIA,152,OTHER FRESH FLAT FISH,3022900,4.476
172,0,253,3772,SUDAN,215,OTHER FRESH FLAT FISH,3022900,3.772
173,0,279,9318,NORWAY,512,OTHER FRESH FLAT FISH,3022900,9.318
174,0,6,237,Other Countries,997,OTHER FRESH FLAT FISH,3022900,0.237
175,0,1013,10141,REPUBLIC OF YEMEN,115,"ALBACORE OR LONGFINNED TUNAS, FRESH",3023100,10.141
176,0,0,2,Other Countries,997,"ALBACORE OR LONGFINNED TUNAS, FRESH",3023100,0.002
177,0,3073,46052,REPUBLIC OF YEMEN,115,KINGFISH (DARAK),3024410,46.052
178,0,30,323,Other Countries,997,KINGFISH (DARAK),3024410,0.323
179,0,5513,55138,REPUBLIC OF YEMEN,115,"OTHERS FROM FISH  (FROZEN,FRESH)",3024490,55.138
180,0,16,608,Other Countries,997,"OTHERS FROM FISH  (FROZEN,FRESH)",3024490,0.608
181,0,3145,15734,REPUBLIC OF YEMEN,115,WHITEFISH (PIGEON AND GRRRNNESS),3024510,15.734
182,0,2406,24086,REPUBLIC OF YEMEN,115,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),3024600,24.086
183,0,3064,30627,REPUBLIC OF YEMEN,115,BREAM (KASHIR),3028910,30.627
184,0,83,1158,Other Countries,997,BREAM (KASHIR),3028910,1.158
185,0,81,1013,UNITED ARAB EMIRATES,120,OTHER SALMON (FROZEN),3031900,1.013
186,0,1072,12049,BANGLADESH,130,OTHER SALMON (FROZEN),3031900,12.049
187,0,15565,83262,MYANMAR,133,OTHER SALMON (FROZEN),3031900,83.262
188,0,291,1625,THAILAND,134,OTHER SALMON (FROZEN),3031900,1.625
189,0,491,4000,TAIWAN,143,OTHER SALMON (FROZEN),3031900,4.0
190,0,295,2406,NORWAY,512,OTHER SALMON (FROZEN),3031900,2.406
191,0,297,2321,Other Countries,997,OTHER SALMON (FROZEN),3031900,2.321
192,0,242,1596,UNITED ARAB EMIRATES,120,TILAPIA FROZEN,3032300,1.596
193,0,1030,4911,TAIWAN,143,TILAPIA FROZEN,3032300,4.911
194,0,4352,6397,EGYPT,214,TILAPIA FROZEN,3032300,6.397
195,0,83,523,Other Countries,997,TILAPIA FROZEN,3032300,0.523
196,0,258,2881,UNITED ARAB EMIRATES,120,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),3032400,2.881
197,0,410,6905,BANGLADESH,130,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),3032400,6.905
198,0,1222,6592,MYANMAR,133,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),3032400,6.592
199,0,2173,11880,MALAYSIA,135,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),3032400,11.88
200,0,264,1912,TAIWAN,143,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),3032400,1.912
201,0,149,747,Other Countries,997,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),3032400,0.747
202,0,145,1106,UNITED ARAB EMIRATES,120,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),3038999,1.106
203,0,341,3602,BANGLADESH,130,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),3038999,3.602
204,0,5151,29385,MYANMAR,133,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),3038999,29.385
205,0,1455,7353,THAILAND,134,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),3038999,7.353
206,0,1016,6831,TAIWAN,143,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),3038999,6.831
207,0,146,763,Other Countries,997,OTHERS SHAOMIAT NAKROOR BOOR NET  (3),3038999,0.763
208,0,123,1387,BANGLADESH,130,"LIVERS AND ROES, FROZEN",3039000,1.387
209,0,2577,15113,MYANMAR,133,"LIVERS AND ROES, FROZEN",3039000,15.113
210,0,657,3278,THAILAND,134,"LIVERS AND ROES, FROZEN",3039000,3.278
211,0,14,53,Other Countries,997,"LIVERS AND ROES, FROZEN",3039000,0.053
212,0,756,11200,UNITED ARAB EMIRATES,120," Other Slices  of Groupers Or Emperors, frozen",3046200,11.2
213,0,385,5738,INDIA,131," Other Slices  of Groupers Or Emperors, frozen",3046200,5.738
214,0,893,7982,MALAYSIA,135," Other Slices  of Groupers Or Emperors, frozen",3046200,7.982
215,0,172,1562,Other Countries,997," Other Slices  of Groupers Or Emperors, frozen",3046200,1.562
216,0,1247,12229,UNITED ARAB EMIRATES,120," Other Slices  of Groupers Or Emperors, frozen",3047900,12.229
217,0,583,5201,PAKISTAN,129," Other Slices  of Groupers Or Emperors, frozen",3047900,5.201
218,0,287,2534,MYANMAR,133," Other Slices  of Groupers Or Emperors, frozen",3047900,2.534
219,0,169,1071,THAILAND,134," Other Slices  of Groupers Or Emperors, frozen",3047900,1.071
220,0,1500,10927,MALAYSIA,135," Other Slices  of Groupers Or Emperors, frozen",3047900,10.927
221,0,324,1766,CHINA,142," Other Slices  of Groupers Or Emperors, frozen",3047900,1.766
222,0,1069,6383,TAIWAN,143," Other Slices  of Groupers Or Emperors, frozen",3047900,6.383
223,0,508,3863,NORWAY,512," Other Slices  of Groupers Or Emperors, frozen",3047900,3.863
224,0,0,0,Other Countries,997," Other Slices  of Groupers Or Emperors, frozen",3047900,0.0
225,0,14,1235,LEBANON,111," Other Slices  of Groupers Or Emperors, frozen",3048100,1.235
226,0,131,1843,UNITED ARAB EMIRATES,120," Other Slices  of Groupers Or Emperors, frozen",3048100,1.843
227,0,255,1773,MALAYSIA,135," Other Slices  of Groupers Or Emperors, frozen",3048100,1.773
228,0,53,3017,CHINA,142," Other Slices  of Groupers Or Emperors, frozen",3048100,3.017
229,0,62,2177,JAPAN,148," Other Slices  of Groupers Or Emperors, frozen",3048100,2.177
230,0,622,31569,NORWAY,512," Other Slices  of Groupers Or Emperors, frozen",3048100,31.569
231,0,80,1015,Other Countries,997," Other Slices  of Groupers Or Emperors, frozen",3048100,1.015
232,0,7504,59925,BAHRAIN,116," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",3049900,59.925
233,0,1520,11341,UNITED ARAB EMIRATES,120," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",3049900,11.341
234,0,162,1107,MYANMAR,133," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",3049900,1.107
235,0,343,2291,THAILAND,134," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",3049900,2.291
236,0,2755,17587,MALAYSIA,135," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",3049900,17.587
237,0,398,2292,TAIWAN,143," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",3049900,2.292
238,0,128,2342,Other Countries,997," Other fish, fresh, chilled or frozen fish from Swordfish Or Toot",3049900,2.342
239,0,58,1620,BAHRAIN,116,"SHRIMPS AND PRAWNS, FROZEN",3061600,1.62
240,0,1687,47280,UNITED ARAB EMIRATES,120,"SHRIMPS AND PRAWNS, FROZEN",3061600,47.28
241,0,47,1060,PAKISTAN,129,"SHRIMPS AND PRAWNS, FROZEN",3061600,1.06
242,0,20,2036,CHINA,142,"SHRIMPS AND PRAWNS, FROZEN",3061600,2.036
243,0,35,761,Other Countries,997,"SHRIMPS AND PRAWNS, FROZEN",3061600,0.761
244,0,935,27097,BAHRAIN,116,"SHRIMPS AND PRAWNS, FROZEN",3061700,27.097
245,0,137,7605,SULTANATE OF OMAN,119,"SHRIMPS AND PRAWNS, FROZEN",3061700,7.605
246,0,5567,165832,UNITED ARAB EMIRATES,120,"SHRIMPS AND PRAWNS, FROZEN",3061700,165.832
247,0,202,7492,PAKISTAN,129,"SHRIMPS AND PRAWNS, FROZEN",3061700,7.492
248,0,223,6883,INDIA,131,"SHRIMPS AND PRAWNS, FROZEN",3061700,6.883
249,0,50,1705,THAILAND,134,"SHRIMPS AND PRAWNS, FROZEN",3061700,1.705
250,0,591,14948,MALAYSIA,135,"SHRIMPS AND PRAWNS, FROZEN",3061700,14.948
251,0,74,1847,CHINA,142,"SHRIMPS AND PRAWNS, FROZEN",3061700,1.847
252,0,77,1739,Other Countries,997,"SHRIMPS AND PRAWNS, FROZEN",3061700,1.739
253,0,1376,7707,MYANMAR,133,"Live, fresh or chilled Sea cucumbers",3081100,7.707
254,0,495,2127,THAILAND,134,"Live, fresh or chilled Sea cucumbers",3081100,2.127
255,0,59,638,Other Countries,997,"Live, fresh or chilled Sea cucumbers",3081100,0.638
256,0,149,4254,UNITED ARAB EMIRATES,120,Other,3081900,4.254
257,0,266,2271,BANGLADESH,130,Other,3081900,2.271
258,0,5188,26900,MYANMAR,133,Other,3081900,26.9
259,0,1426,6237,THAILAND,134,Other,3081900,6.237
260,0,179,1034,Other Countries,997,Other,3081900,1.034
261,0,232,2473,SULTANATE OF OMAN,119,OTHER MILK AND CREAM FAT MORE THAN 6%.,4014090,2.473
262,0,535,3859,UNITED ARAB EMIRATES,120,OTHER MILK AND CREAM FAT MORE THAN 6%.,4014090,3.859
263,0,127,1208,NEW ZEALAND,313,OTHER MILK AND CREAM FAT MORE THAN 6%.,4014090,1.208
264,0,96,1335,DENMARK,513,OTHER MILK AND CREAM FAT MORE THAN 6%.,4014090,1.335
265,0,2110,17393,NETHERLANDS,518,OTHER MILK AND CREAM FAT MORE THAN 6%.,4014090,17.393
266,0,31,235,Other Countries,997,OTHER MILK AND CREAM FAT MORE THAN 6%.,4014090,0.235
267,0,249,1641,NEW ZEALAND,313,OTHER MILK AND CREAM FAT MORE THAN 6%.,4015090,1.641
268,0,343,2965,GERMANY,517,OTHER MILK AND CREAM FAT MORE THAN 6%.,4015090,2.965
269,0,1794,21632,FRANCE,522,OTHER MILK AND CREAM FAT MORE THAN 6%.,4015090,21.632
270,0,184,1580,SPAIN,526,OTHER MILK AND CREAM FAT MORE THAN 6%.,4015090,1.58
271,0,242,1988,Other Countries,997,OTHER MILK AND CREAM FAT MORE THAN 6%.,4015090,1.988
272,0,207,1253,MALAYSIA,135,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,4021010,1.253
273,0,395,5754,AUSTRALIA,310,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,4021010,5.754
274,0,4293,47188,NEW ZEALAND,313,SOLID MILK NOT EXCEEDING 1% FAT FOR INDUSTRIAL PURPOSES,4021010,47.188
