,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,الفهرس / Index
0,,,,,,,,,
1,الواردات حسب الاقسام,,,,,,,,
2,Imports by Section,,,,,,,,
3,رقم القسم,وصف القسم,الربع الثاني / Q2,الربع الأول / Q1,الربع الثاني / Q2,Section Description,"Sec.
No",,
4,,,2020,2021,2021,,,,
5,,,القيمة (مليون ريال) / (Million Riyals),,,,,,
6,1,الحيوانات الحية والمنتجات الحيوانية,4832.169671,5124.105264,4644.5820619999995,Live animals; animal products,1,,
7,2,منتجات نباتية,8994.589992000001,8425.51836,8412.106256,Vegetable products,2,,
8,3,شحوم ودهون وزيوت حيوانية أو نباتية ومنتجات تفككها؛ دهون غذائية محضرة؛ شموع من أصل حيواني أو نباتي,737.920117,1052.075508,1014.7012950000001,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,3,,
9,4,منتجات صناعة الأغذية؛ مشروبات؛ سوائل كحولية وخل؛ تبغ وأبدال تبغ مصنعة,7107.622813,7074.709285999999,7146.520745,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes",4,,
10,5,المنتجات المعدنية,3706.579267,4123.354467,7310.717962999999,Mineral products,5,,
11,6,منتجات الصناعات الكيماوية وما يتصل بها,14292.728381,13903.884165,15887.925115,Products of the chemical or allied industries,6,,
12,7,لدائن ومصنوعاتها؛ مطاط ومصنوعاته,5054.983208,5050.023616,5604.43242,Plastics and articles thereof; rubber and articles thereof,7,,
13,8,صلال وجلود خام و جلود مدبوغة وجلود بفراء ومصنوعات هذه المواد؛ أصناف عدة الحيوانات و السراجة؛ لوازم السفر؛ حقائب يدوية وأوعية مماثلة لها؛ مصنوعات من مصارين الحيوانات (عدا مصارين دودة القز),341.693963,466.30888500000003,408.905142,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",8,,
14,9,خشـب ومصنوعاتــه؛ فحم خشبـــي؛ فلين ومصنوعاته؛ مصنوعات من القش أو من الحلفا أو من مواد الضفر الأُخر؛ أصناف صناعتي الحصر والسلال,1266.695471,1174.5831819999999,1410.686669,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",9,,
15,10,عجائن من خشب أو من مواد ليفية سليلوزية أخر؛ ورق أو ورق مقوى (نفايا وفضلات) بغرض إعادة التصنيع (مسترجعة)؛ ورق وورق مقوى ومصنوعاتهما,1737.119576,1452.55486,1747.468422,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof,10,,
16,11,مواد نسـجية ومصنوعات من هذه المواد,4385.0718,5505.859544000001,4910.724366,Textiles and textile articles,11,,
17,12,أحذية، أغطية رأس، مظلات مطر، مظلات شمس، عصي مشي، عصي بمقاعد، سياط، وسياط الفروسية، أجزاء هذه الأصناف؛ ريش محضر وأصناف مصنوعة منه؛ أزهار اصطناعية؛ مصنوعات من شعر بشري,508.504999,1103.814127,906.115958,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair",12,,
18,13,مصنوعات من حجر أو جص أو إسمنت أو حرير صخري (اسبستوس) أو ميكا أو من مواد مماثلة؛ مصنوعات من خزف؛ زجاج ومصنوعاته,1707.8756010000002,2063.730818,1764.369658,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware",13,,
19,14,لؤلؤ طبيعي أو مستنبت، أحجار كريمة أو شبه كريمة، معادن ثمينة، معادن عادية مكسوة بقشرة من معادن ثمينة، مصنوعات من هذه المواد؛ حلي الغواية (مقلدة)؛ نقود,918.567959,5375.119551,5072.590651,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin",14,,
20,15,معادن عادية ومصنوعاتها,12150.03842,11657.990332000001,12541.020653,Base metals and articles of base metal,15,,
21,16,"آلات وأجهزة آلية؛ معدات كهربائية؛ أجزاؤها؛ أجهزة تسجيل واذاعة الصوت والصورة وأجهزة تسجيل واذاعة الصوت والصورة في الإذاعة المرئية (التلفزيون)، أجزاء ولوازم هذه الأجهزة
",26188.12145,27893.963757999998,26582.811135,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",16,,
22,17,عربات، طائرات، بواخر، ومعدات نقل مماثلة,19507.522262,22649.439999000002,24740.171216,"Vehicles, aircraft, vessels and associated transport equipment",17,,
23,18,أدوات وأجهزة للبصريات أو للتصوير الفوتوغرافي أو للتصوير السينمائي أو للقياس أو للفحص والضبط الدقيق، أدوات وأجهزة للطب أو الجراحة؛ أصناف صناعة الساعات؛ أدوات موسيقية؛ أجزاء ولوازم هذه الأدوات والأجهز,4161.47166,4127.212287,3807.0630149999997,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof",18,,
24,19,أسلحة وذخائر؛ أجزاؤها ولوازمها,2117.770754,6003.02639,1219.652885,Arms and ammunition; parts and accessories thereof,19,,
25,20,سلع ومنتجات متـنوعة,2826.9559209999998,3591.651804,3383.210658,Miscellaneous manufactured articles,20,,
26,21,تحف فنية، قطع للمجموعات وقطع أثرية,2304.779969,1683.2821020000001,2428.455551,"Works of art, collectors' pieces and antiques",21,,
27,,الإجمالي,124848.78325399997,139502.208305,140944.23183499998,Total,,,
