,Quantity/Units,Weight(1000 Tons),Value(million SAR),Country Group,Commodity,Commodity Code
5,349,0,1,Gulf Cooperation Council,HORSES FOR SPORT,01012910
6,46,0,1,European Union,HORSES FOR SPORT,01012910
7,58,0,0,Other Country Groups,HORSES FOR SPORT,01012910
8,345,0,3,Gulf Cooperation Council,PURE-BRED BREEDING BOVINE ANIMALS,01022100
9,98614,3,52,Gulf Cooperation Council,PURE-BRED BREEDING SHEEP,01041010
10,2725,0,1,Other Arab League Countries,PURE-BRED BREEDING SHEEP,01041010
11,43186,1,25,Gulf Cooperation Council,OTHER SHEEP,01041090
12,800,0,0,Other Country Groups,OTHER SHEEP,01041090
13,3490,0,1,Gulf Cooperation Council,PURE-BRED BREEDING GOATS,01042010
14,0,0,15,Gulf Cooperation Council,Other Fowls of the species Gallus domesticus,01059490
15,0,0,43,Other Arab League Countries,Other Fowls of the species Gallus domesticus,01059490
16,1600,0,1,Gulf Cooperation Council,"OTHER FOWLS, NOT GALLUS DOMESTICUS",01059990
17,2,0,0,Other Country Groups,"OTHER FOWLS, NOT GALLUS DOMESTICUS",01059990
18,3462,1,8,Gulf Cooperation Council,Pure-bred breeding camels,01061310
19,29155,8,83,Gulf Cooperation Council,Camels for sport and beauty contests,01061320
20,227,0,1,Other Arab League Countries,Camels for sport and beauty contests,01061320
21,0,1,19,Islamic not Arabic countries,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,02021000
22,0,0,0,Other Country Groups,CARCASSES AND HALF-CARCASSES OF FROZEN BOVINE ANIMALS,02021000
23,0,0,2,"Asian not Arabic ,not Islamic",OTHER CUTS WITH BONE IN OF FROZEN BOVINE ANIMALS,02022000
24,0,0,1,Gulf Cooperation Council,MINCED MEAT OF BOVINE ANIMALS,02023010
25,0,0,1,Other Arab League Countries,MINCED MEAT OF BOVINE ANIMALS,02023010
26,0,3,57,Gulf Cooperation Council,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
27,0,0,9,Other Arab League Countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
28,0,1,16,Islamic not Arabic countries,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
29,0,0,1,"Asian not Arabic ,not Islamic",BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
30,0,0,0,Other Country Groups,BONELESS MEAT OF FROZEN BOVINE ANIMALS,02023090
